player_id,position,league,tier,games,winrate,操作,运营,心态,指挥,体质,适应力,总评,逆风局数,翻盘率,英雄池,_boxz,_impz,_resid,teams,年龄
Wolf,sup,OGN,3,107,0.794,50.6,61.2,64.3,79.1,58.0,49.4,75.9,10,0.3,12,0.132,3.295,2.669,SK Telecom T1,25
MaRin,top,OGN,3,119,0.782,74.8,50.2,65.0,79.2,54.3,45.9,75.8,10,0.3,14,0.593,2.867,2.185,SK Telecom T1,24
Bang,bot,OGN,3,119,0.782,66.2,54.8,68.6,63.9,69.8,55.0,75.4,10,0.3,12,0.423,2.867,2.143,SK Telecom T1,19
Meiko,sup,MSI,1,22,0.636,66.8,57.8,59.3,55.4,58.1,54.5,72.8,3,0.333,7,0.36,2.143,1.955,EDward Gaming,17
Huni,top,EU LCS,1,76,0.711,72.1,50.7,57.2,62.6,49.0,60.7,72.8,9,0.222,19,0.442,2.076,2.04,Fnatic,18
Reignover,jng,EU LCS,1,76,0.711,73.4,48.2,56.1,58.9,60.6,49.5,72.8,9,0.222,11,0.441,2.076,1.776,Fnatic,20
YellOwStaR,sup,EU LCS,1,76,0.711,59.5,64.7,60.5,70.3,56.3,59.4,72.6,9,0.222,11,0.369,2.076,1.851,Fnatic,23
Clearlove,jng,MSI,1,22,0.636,59.8,59.9,58.4,70.8,47.6,57.8,72.2,3,0.333,8,0.196,2.143,2.141,EDward Gaming,22
Deft,bot,MSI,1,22,0.636,62.8,53.4,58.1,67.1,48.1,63.6,72.1,3,0.333,9,0.158,2.143,2.663,EDward Gaming,19
Faker,mid,OGN,3,81,0.778,69.7,55.3,72.9,55.1,50.5,68.8,71.8,7,0.429,22,0.529,1.769,1.309,SK Telecom T1,19
PawN,mid,MSI,1,22,0.636,54.6,55.5,58.9,64.7,65.1,62.5,71.7,3,0.333,12,0.048,2.143,2.317,EDward Gaming,18
Hojin,jng,OGN,3,84,0.69,47.8,54.7,56.6,75.5,52.7,68.0,71.0,15,0.2,16,-0.082,2.108,1.764,ROX Tigers,23
Albis,sup,LMS,15,57,0.737,61.3,58.0,68.9,69.5,36.4,59.8,70.4,7,0.286,11,0.262,1.72,1.628,ahq eSports Club,22
An,bot,LMS,15,71,0.732,67.0,59.6,72.4,70.5,51.2,51.2,70.2,8,0.25,11,0.498,1.496,1.193,ahq eSports Club,21
Zven,bot,EU LCS,1,72,0.708,64.7,59.3,55.6,60.8,39.8,55.6,69.5,5,0.2,12,0.249,1.573,1.724,Origen,18
Ziv,top,LMS,15,71,0.732,58.4,58.5,75.3,55.9,42.1,57.6,69.3,8,0.25,15,0.316,1.496,1.355,ahq eSports Club,19
sOAZ,top,EU LCS,1,72,0.708,62.9,52.8,61.7,67.6,40.6,68.2,69.0,5,0.2,21,0.155,1.573,1.761,Origen,21
Dumbledoge,sup,TCL,15,46,0.739,63.4,57.6,67.6,59.3,53.5,58.4,68.7,10,0.4,10,0.351,1.369,1.162,Beşiktaş Esports,21
Nardeus,bot,TCL,15,41,0.756,58.6,52.0,67.5,59.2,64.3,47.9,68.7,9,0.333,7,0.186,1.504,1.576,Beşiktaş Esports,
Karsa,jng,LMS,15,59,0.661,67.8,58.8,49.0,57.8,48.6,54.5,68.6,8,0.125,10,0.347,1.345,1.197,Flash Wolves,18
Mountain,jng,LMS,15,59,0.729,64.4,60.2,61.9,58.4,41.6,48.7,68.6,7,0.286,9,0.313,1.379,1.276,ahq eSports Club,20
Amazing,jng,EU LCS,1,72,0.708,59.5,55.9,55.2,63.2,37.1,43.7,68.6,5,0.2,11,0.072,1.573,1.62,Origen,21
Mithy,sup,EU LCS,1,72,0.708,59.2,52.2,57.7,58.6,41.5,62.7,68.5,5,0.2,13,0.052,1.573,1.593,Origen,21
Naru,mid,TCL,15,35,0.743,63.9,54.4,51.3,55.5,38.4,55.2,68.1,3,0.0,13,0.157,1.427,1.355,Dark Passage,19
Thaldrin,top,TCL,15,48,0.708,62.8,55.2,65.2,63.0,33.9,54.0,68.1,11,0.364,13,0.226,1.369,1.316,Beşiktaş Esports,21
FEBIVEN,mid,EU LCS,1,79,0.696,57.9,54.8,60.6,57.4,52.6,47.9,68.1,9,0.222,16,0.166,1.428,1.295,Fnatic,19
Westdoor,mid,LMS,15,71,0.732,55.9,54.2,64.8,71.2,39.6,44.2,68.0,8,0.25,12,0.052,1.496,1.529,ahq eSports Club,22
