player_id,position,league,tier,games,impact_raw,impact_z,impact_100
Boda,top,AL,2,95,0.2426,3.588,81.3
Giyuu,mid,AL,2,95,0.2426,3.588,81.3
Chovy,mid,LCK,1,163,0.2411,3.566,81.3
Ruler,bot,LCK,1,163,0.2411,3.566,81.3
Canyon,jng,LCK,1,165,0.2266,3.352,81.2
Duro,sup,LCK,1,167,0.2165,3.201,81.1
Kiin,top,LCK,1,167,0.2165,3.201,81.1
OddEye,bot,LAS,2,122,0.2052,3.034,80.9
Painter,jng,LAS,2,122,0.2052,3.034,80.9
Baus,top,EM,2,109,0.1983,2.932,80.8
Nemesis,mid,EM,2,109,0.1983,2.932,80.8
Rekkles,sup,EM,2,109,0.1983,2.932,80.8
Velja,jng,EM,2,109,0.1983,2.932,80.8
Crownie,bot,EM,2,108,0.194,2.868,80.7
Delight,sup,LCK,1,169,0.1921,2.84,80.7
Zeka,mid,LCK,1,169,0.1921,2.84,80.7
Zeus,top,LCK,1,169,0.1921,2.84,80.7
Doran,top,LCK,1,187,0.1796,2.655,80.4
Faker,mid,LCK,1,187,0.1796,2.655,80.4
Keria,sup,LCK,1,187,0.1796,2.655,80.4
Oner,jng,LCK,1,187,0.1796,2.655,80.4
Dekap,sup,AL,2,113,0.1755,2.595,80.3
Peanut,jng,LCK,1,153,0.1649,2.438,80.0
3XA,bot,LFL,2,127,0.161,2.38,79.9
Maynter,top,LFL,2,127,0.161,2.38,79.9
SlowQ,mid,LFL,2,127,0.161,2.38,79.9
Viper,bot,LCK,1,161,0.1571,2.322,79.7
Flandre,top,LPL,1,183,0.1569,2.319,79.7
Hope,bot,LPL,1,183,0.1569,2.319,79.7
Kael,sup,LPL,1,183,0.1569,2.319,79.7
Tarzan,jng,LPL,1,183,0.1569,2.319,79.7
Guardian,top,LAS,2,112,0.155,2.291,79.7
Kanavi,jng,LPL,1,200,0.1547,2.286,79.6
Gumayusi,bot,LCK,1,162,0.1545,2.283,79.6
HongQ,mid,LCP,2,132,0.1543,2.28,79.6
JunJia,jng,LCP,2,132,0.1543,2.28,79.6
Busio,sup,LTA N,1,91,0.1486,2.197,79.4
Inspired,jng,LTA N,1,91,0.1486,2.197,79.4
Massu,bot,LTA N,1,91,0.1486,2.197,79.4
Quad,mid,LTA N,1,91,0.1486,2.197,79.4
YoungJae,jng,LCKC,2,129,0.1481,2.189,79.4
Zinie,mid,LCKC,2,129,0.1481,2.189,79.4
Piero,sup,LFL,2,114,0.1458,2.155,79.3
Bean,bot,PRM,2,101,0.144,2.128,79.2
Dajor,mid,PRM,2,101,0.144,2.128,79.2
LIMIT,sup,PRM,2,101,0.144,2.128,79.2
Shelfmade,top,PRM,2,101,0.144,2.128,79.2
Doggo,bot,LCP,2,119,0.1432,2.116,79.1
Kaiwing,sup,LCP,2,119,0.1432,2.116,79.1
FlickeR,bot,AL,2,49,0.1414,2.09,79.0
Knight,mid,LPL,1,180,0.141,2.083,79.0
Peter,sup,LCK,1,135,0.1401,2.07,79.0
HARPOON,bot,LFL2,2,92,0.1383,2.044,78.9
Elramir,jng,AL,2,64,0.1372,2.028,78.8
Smash,bot,LCKC,2,144,0.1371,2.026,78.8
Bwipo,top,LTA N,1,86,0.1356,2.004,78.7
369,top,LPL,1,183,0.1355,2.002,78.7
Creme,mid,LPL,1,183,0.1355,2.002,78.7
JackeyLove,bot,LPL,1,183,0.1355,2.002,78.7
DG suyahime,mid,LJL,2,37,0.1311,1.938,78.5
DG toraneko,sup,LJL,2,37,0.1311,1.938,78.5
kyeahoo,mid,LCKC,2,135,0.1299,1.92,78.4
Solbon,mid,LAS,2,110,0.1291,1.907,78.3
Jool,mid,TCL,2,79,0.1289,1.904,78.3
Elk,bot,LPL,1,190,0.1278,1.889,78.2
ToongE,bot,TCL,2,96,0.1276,1.886,78.2
Paduck,bot,LCKC,2,129,0.1272,1.88,78.2
Feng,bot,PCS,2,136,0.127,1.877,78.2
Bin,top,LPL,1,189,0.1252,1.85,78.1
ON,sup,LPL,1,189,0.1252,1.85,78.1
Insanity,mid,NACL,2,62,0.1244,1.838,78.0
TIMR,sup,HC,2,72,0.1243,1.836,78.0
Dzeffry,top,HC,2,67,0.1236,1.826,78.0
FakeGod,top,NACL,2,64,0.1234,1.823,77.9
Tactical,bot,NACL,2,64,0.1234,1.823,77.9
Tomio,jng,NACL,2,64,0.1234,1.823,77.9
Badlulu,top,LVP SL,2,87,0.1226,1.811,77.9
Feisty,mid,LVP SL,2,87,0.1226,1.811,77.9
Ferret,jng,LVP SL,2,87,0.1226,1.811,77.9
Lospa,sup,LVP SL,2,87,0.1226,1.811,77.9
Leb,jng,PRM,2,92,0.119,1.757,77.6
Kio,top,HLL,2,110,0.1181,1.745,77.5
PerfecT,top,LCK,1,128,0.1181,1.744,77.5
Kaiser,sup,LVP SL,2,121,0.1172,1.732,77.5
Flauren,top,PCS,2,122,0.1158,1.71,77.3
Pop9,jng,PCS,2,122,0.1158,1.71,77.3
ShiauC,sup,PCS,2,122,0.1158,1.71,77.3
Batuuu,sup,TCL,2,95,0.1155,1.707,77.3
Callme,mid,TCL,2,95,0.1155,1.707,77.3
Kozi,top,RL,2,104,0.1155,1.706,77.3
Mihile,top,TCL,2,95,0.1155,1.707,77.3
Twight,jng,RL,2,104,0.1155,1.706,77.3
