player_id,position,league,tier,games,impact_raw,impact_z,impact_100
Leidcroop,mid,GL,2,29,0.0256,0.432,63.0
UnicornG,jng,GL,2,29,0.0256,0.432,63.0
Tomo,bot,LCS,1,58,0.0254,0.428,62.9
ToongE,bot,LAS,2,21,0.0254,0.428,62.9
S1aytrue,sup,PCS,2,36,0.0252,0.426,62.8
Scarface,top,LVP SL,2,47,0.025,0.422,62.8
JayJ,sup,NACL,2,49,0.0249,0.42,62.7
Meaning,top,LLA,2,62,0.0249,0.42,62.7
OnFleek,jng,LLA,2,62,0.0249,0.42,62.7
Snaker,bot,LLA,2,62,0.0249,0.42,62.7
Akia,sup,LCO,2,29,0.0248,0.419,62.7
Munian,top,LDL,2,38,0.0248,0.418,62.7
Renyu,bot,VL,2,42,0.0248,0.418,62.7
Zzzofia,sup,VL,2,42,0.0248,0.418,62.7
Marty,mid,ESLOL,2,26,0.0246,0.415,62.7
Uneasy,bot,LDL,2,53,0.0245,0.413,62.6
Dioge,mid,CBLOLA,2,61,0.0239,0.402,62.4
SuperCleber,top,CBLOLA,2,61,0.0239,0.402,62.4
Qiang,jng,VCS,2,57,0.0238,0.401,62.4
CRoNiiK,jng,LFL2,2,56,0.0237,0.4,62.4
Gury,jng,VCS,2,75,0.0237,0.4,62.4
Czajek,mid,LFL,2,55,0.0236,0.398,62.4
Damage,sup,CBLOL,2,60,0.0236,0.398,62.4
Eyla,sup,LCS,1,46,0.0236,0.398,62.4
Jactroll,sup,LFL,2,55,0.0236,0.398,62.4
Xico,mid,LVP SL,2,43,0.0235,0.396,62.3
Kantoshi,top,GL,2,39,0.0234,0.394,62.3
Leza,mid,LLA,2,50,0.0233,0.392,62.3
Zothve,top,LLA,2,50,0.0233,0.392,62.3
Yge,jng,LDL,2,34,0.0231,0.39,62.2
Nae,mid,NEXO,2,32,0.023,0.388,62.2
MooseHater,top,NACL,2,41,0.0229,0.385,62.1
Sting,jng,CBLOLA,2,64,0.0227,0.383,62.1
VicLa,mid,LCS,1,51,0.0227,0.383,62.1
ECSTASSY,bot,EBL,2,40,0.0225,0.378,62.0
Kektz,top,EBL,2,81,0.0222,0.373,61.9
Mafro,jng,EBL,2,81,0.0222,0.373,61.9
Shy Carry,bot,EBL,2,81,0.0222,0.373,61.9
Subbex,bot,ESLOL,2,40,0.0222,0.375,62.0
Wojtus,sup,EBL,2,81,0.0222,0.373,61.9
kehvo,bot,NLC,2,65,0.0222,0.374,61.9
Bucket,sup,SL (LATAM),2,29,0.0218,0.368,61.8
Mataz,jng,LLA,2,30,0.0213,0.359,61.7
Stormax,jng,LFL2,2,57,0.0212,0.357,61.6
Zaremba,sup,LFL2,2,57,0.0212,0.357,61.6
Toaster,bot,NLC,2,31,0.0209,0.352,61.6
asta,jng,LRS,2,28,0.0209,0.351,61.5
zekas,top,LRS,2,28,0.0209,0.351,61.5
redwall,top,LDL,2,47,0.0208,0.35,61.5
Whistle,mid,TCL,2,32,0.0206,0.347,61.5
Shikari,top,NLC,2,34,0.0205,0.345,61.4
Niño Palo,bot,NEXO,2,25,0.0203,0.341,61.4
Wunai3,sup,LDL,2,38,0.0203,0.342,61.4
Nova,sup,AL,2,28,0.0202,0.34,61.3
Shu Hari,sup,LLA,2,40,0.0202,0.339,61.3
lll,sup,GL,2,24,0.0201,0.339,61.3
Holo,jng,PCS,2,42,0.02,0.337,61.3
Fogzy,mid,HC,2,28,0.0199,0.335,61.3
Partidarios,sup,LAS,2,23,0.0198,0.333,61.2
Th3Antonio,top,LVP SL,2,34,0.0198,0.334,61.2
Keishao,sup,LRS,2,36,0.0197,0.332,61.2
mirrored,mid,LFL2,2,28,0.0197,0.331,61.2
Eskiper,sup,NEXO,2,48,0.0196,0.329,61.1
Loopy,sup,LCKC,2,52,0.0196,0.33,61.2
Emvipi,jng,NEXO,2,20,0.0193,0.325,61.1
KennyChan,jng,PCS,2,28,0.0192,0.323,61.0
AHaHaCiK,jng,LVP SL,2,55,0.0191,0.321,61.0
Daystar,mid,LCO,2,60,0.0191,0.321,61.0
Leemas,bot,LCO,2,60,0.0191,0.321,61.0
Lived,top,LCO,2,60,0.0191,0.321,61.0
Noz2k,bot,CT,2,36,0.0191,0.321,61.0
R4VEN,top,LVP SL,2,55,0.0191,0.321,61.0
Whynot,jng,LCO,2,60,0.0191,0.321,61.0
cody,mid,LLA,2,59,0.0191,0.322,61.0
Ellam,bot,PGN,2,33,0.019,0.319,61.0
Venzer,sup,PGN,2,33,0.019,0.319,61.0
Hasmed,top,VCS,2,75,0.0188,0.316,60.9
zay,sup,CBLOL,2,48,0.0186,0.312,60.8
xiaocaobao,mid,LDL,2,88,0.0185,0.311,60.8
Shakespeare,sup,LJLA,2,22,0.0184,0.31,60.8
