name,short,region,location,org,is_disbanded,renamed_to
Comando Élite,CE,Europe,Spain,,1,
Comeback Kid,CK,Asia Pacific,Thailand,,1,
compLexity Academy,CLA,North America,United States,,1,
compLexity Gaming,COL,North America,United States,,1,
compLexity.Black,CLB,North America,United States,,1,
compLexity.Red,CLR,North America,United States,,1,
compLexity.White,COW,North America,United States,,1,
Connect Arena Esports,CNA,EMEA,,,1,
Connecting Esports,CE,EMEA,,,1,
Connecting Esports LYVT,LYVT,Europe,,,1,Team Black (Dutch Team)
CONQUEROR Gaming,CQR,North America,,,1,
Contingent Esports,CONT,Americas,,,0,
Converse University,CU,North America,United States,,0,
Convict of Shadows,CoS,Europe,Greece,,1,
Conviction,CNV,North America,United States,,0,
ConViction Moon,CV.M,North America,,,1,
ConViction Sun,CV.S,North America,United States,,1,
Coopa Troopas,CT,North America,,,1,
Copenhagen Flames,CF,Europe,Denmark,,1,
Copenhagen Wolves,CW,Europe,Denmark,,1,
Copenhagen Wolves Academy,CWA,Europe,Denmark,,1,
Corax Gaming,CX,Europe,Belgium,,1,
Córdoba Patrimonio eSports,CPH,EMEA,Spain,,1,
CORE 128,CORE,EMEA,Spain,,0,
Core Dynamic,CDY,Europe,Germany,,1,
Corinthians Esports,SCCP,Brazil,Brazil,,1,
COS City Hawk (城市蒼鷹),TPCU,Asia Pacific,Taiwan,,1,
Cosa Gamers,CG,Americas,,,1,
Coscu Army,CA,Brazil,Argentina,,0,
Cosmic Vipers,CV,North America,,,1,
Cosmic Wolf Esports,CW,North America,,,1,
Cougar E-Sport,CGE,LMS,Taiwan,,1,
Could Be Better,CBB,Europe,Lithuania,,1,
Counter Counter Clockwise,CCC,Europe,Europe,,1,
Counter Logic Gaming,CLG,North America,United States,,1,
Counter Logic Gaming Europe,CLG.EU,Europe,Europe,,1,
Coven,CVN,Brazil,Brazil,,1,
cowana Gaming,COW,Europe,Germany,,1,
CowBoySquad Imperials Esports,CBI,Europe,Greece,,1,
CowBoySquad Imperials Esports Academy,CBI.A,Europe,Greece,,1,
CPLAY,CPL,EMEA,Germany,,0,
CR4ZY,C4,Europe,Croatia,,1,Valiance
Cream Esports,CRM,Latin America,Spain,,1,
Cream Real Betis,BTS,Europe,Spain,,1,
Cream Real Betis,CRB,Latin America,Spain,,1,
Cremas Esports,CRE,Latin America,Peru,,1,Universitario Esports
Crest Gaming Act,CGA,Asia Pacific,Japan,,1,
Crest Gaming Act Academy,CGA.A,Asia Pacific,Japan,,1,AXIZ CREST Academy
Crew e-Sports Club,CEC,Turkey,Turkey,,1,YouthCrew Esports
Crimson Gaming,CRM,Oceania,Australia,,1,
Croatian Flair,CF,EMEA,Croatia,,1,
CrossGaming,CG,LMS,Hong Kong,,1,
CrowCrowd,CC,CIS,Russia,,1,
Crusaders,CRZ,EMEA,Portugal,,1,
Cruzados Esports,UC,Latin America,Chile,,1,
Cruzeiro Academy,CRZ.A,Brazil,Brazil,,1,E-Flix eSports
Cruzeiro eSports,CRZ,Brazil,Brazil,,1,E-Flix eSports
Crvena zvezda Esports,CZV,EMEA,Serbia,,1,
Crypto Esports,CRY,Europe,Spain,,1,
Crypto Esports.CIS,CRY,CIS,Spain,,1,
Cryptova,OVA,EMEA,Czech Republic,,1,
Crystal Cave Gaming Emerald,CCGE,North America,,,1,
Crystal Rose,CR,EMEA,France,,0,
CSG Gaming,CSG,LAN,Mexico,,1,
CST Team (幼華戰龍),CST,Asia Pacific,Taiwan,,1,
CTBC Flying Oyster,CFO,Asia Pacific,Taiwan,,0,
CTBC Flying Oyster Academy,CFOA,Asia Pacific,Taiwan,,0,
CTRL PLAY,CPT,CIS,Russia,,1,
CTRL PLAY Academy,CPT.A,CIS,Russia,,1,
CTU Pathos,CTU P,Korea,South Korea,,1,
Cube Adonis,ADN,Vietnam,,,1,CERBERUS Esports (Vietnamese Team)
Cupid Esports,CPD,North America,,,0,
Curralzinho Esports,CPC,Americas,Brazil,,1,
Curse Academy,CA,North America,North America,,1,Gravity (North American Team)
Cursed Rage,CSR,LAS,Chile,,1,
Cusprills,CUSP,Brazil,,,1,
CUT Esports,CUT,MENA,Denmark,,1,
Cyber Gamer e-Sports,CGE,Brazil,,,1,
Cyber Gaming,CG,Europe,Czech Republic,,1,
Cyber Gaming Academy,CG.A,Europe,Czech Republic,,1,
Cyber Wolves,CWE,EMEA,Slovenia,,1,
Cyberground Gaming,CGG,EMEA,Italy,,1,EKO Esports
Cyberground Gaming Academy,CGG.A,Europe,Italy,,1,
Cyborg Factory,CGF,Europe,Czech Republic,,1,
Cycle Esports,CYL,MENA,Jordan,,1,
Cyclone,CL,Japan,Japan,,1,
CYRUS,CRS,Vietnam,,,1,
Cyzone,CYZ,SEA,Vietnam,,1,
Czas na zasady,CNZ,Europe,,,1,
Czeska Husaria,CZH,Europe,,,1,
D-City Gaming Stars,DCG,Europe,,,1,1. Esport Verein Darmstadt e.V.
D-City Gaming Stars Gold,DCG.G,Europe,Germany,,1,1. Esport Verein Darmstadt e.V. Academy
D1VERSE,D1,Asia Pacific,Vietnam,,1,
D7G Esports Club,D7G,China,China,,1,
Da Dancing Demons,D3,Latin America,Peru,,1,
Dadslammers,DAD,North America,North America,,1,
Dai Dai Gaming,DaiDai,Brazil,Brazil,,1,
DAN Gaming,DAN,China,China,,1,
Dango,DNG,EMEA,Spain,,1,
Dango SB,DSB,EMEA,Spain,,1,
Dare Black,DARE.B,North America,,,1,
Dare Gaming,DARE,North America,,,1,
Dare White,DARE.W,North America,,,1,
Dark Allegiance,DA,North America,Canada,,1,
Dark Crows,DCR,Latin America,Chile,,1,
Dark Horse,DHX,Latin America,Chile,,1,
Dark Matter,SNDM,Americas,North America,SUPERNOVA (Organization),1,
Dark Passage,DP,EMEA,Turkey,,0,
Dark Passage Academy,DP.A,Turkey,Turkey,,1,
Dark Passage White,DPW,Turkey,Turkey,,1,
Dark Quality,DQT,Latin America,,,1,
Dark Tigers,DTG,Europe,Czech Republic,,1,
Dark Tigers Academy,DTG.A,Europe,Czech Republic,,1,
Dark Wolves,DW,Korea,South Korea,,1,
Dark Zone,DZ,Europe,Italy,,1,
Darkness Eagles Esports,DEGs,LAN,Mexico,,1,
DarkSpawn Gaming,DSG,Europe,United Kingdom,,1,
DarkZero Dragonsteel,DZ,North America,United States,,1,
DarlingYou,DLY,LMS,Taiwan,,1,
Dash9 Gaming,D9,LAN,Colombia,,1,
Dawn Esports,DWN,North America,North America,Dawn Esports (Organization),1,
Dawn Esports Blaze,DWNB,North America,,Dawn Esports (Organization),1,
Dawn Esports Quake,DWNQ,North America,,,1,
Dawn Esports Shock,DWNS,North America,,Dawn Esports (Organization),1,
Dawn of Stars,DoS,Europe,Greece,,1,
DayDreamers,DD,Europe,Italy,,1,
Deacoy,DEA,EMEA,Italy,,1,
Dead Rabbits Club,DR,Europe,Spain,,1,
DeathMark E-Sports,DME,North America,Canada,,0,
Deep Cross Gaming,DCG,Asia Pacific,Taiwan,,0,
Deep Cross Gaming Academy,DCG.A,Asia Pacific,Taiwan,,1,
Deer Gaming,DEER,EMEA,Finland,,0,
Defenders (防衛者),DFD,LMS,Taiwan,,1,
Definitely not washed up,DNWU,EMEA,Bulgaria,,0,
DeftCarry,DEFT,LMS,Taiwan,,1,
Defusekids,DK,Europe,Belgium,,1,LowLandLions
Dejice,Dejice,Europe,Greece,,1,
Delirious Hellhounds,DH,North America,,,1,
Deliverance Esports,DVE,Latin America,Costa Rica,,1,
Deliverance Esports Peru,DVE.P,Latin America,Costa Rica,,1,
Delta Five,DT5,Europe,,,1,
Delta Fox,DFX,North America,United States,,1,
Delta Syndicate,DS,EMEA,Hungary,,1,
DELTALAND,DLT,EMEA,Italy,,1,
Demise,DMS,Europe,United Kingdom,,1,
Demise Academy,DMS.A,Europe,United Kingdom,,1,
Demolition Falcons,DF,Europe,Greece,,1,
DengKaiLi Game Team,DKL,China,,,1,
Denial eSports,DNL,North America,North America,,1,
Denial eSports.East,DNL.E,North America,North America,,1,
Denial eSports.Europe,DNL.EU,Europe,North America,,1,
Departed,DPD,Europe,Poland,,1,
Depor Cali Legends,DCL,Latin America,Colombia,,1,
Des Moines DMG,DMG,North America,,,1,
Descuydado Aucas Esports,DSC,Latin America,Ecuador,,1,
Destined For Glory,DFGL,North America,North America,,1,
Determined Gaming,DTG,North America,North America,,1,
DetonatioN FocusMe,DFM,Asia Pacific,Japan,,0,
DetonatioN FocusMe Academy,DFMA,Asia Pacific,Japan,,0,
DetonatioN Rising,DNR,Japan,Japan,,1,
DeToNator,DTN,Japan,Japan,,1,
DeToNator,DTN,SEA,Japan,,1,SEA Serpents
devils.one Academy,DV1A,EMEA,Poland,,1,
devils.one inStreamly,DV1,EMEA,Poland,,0,
Dewish Team,DWT,Asia Pacific,,,1,
Dewish Tnu Team,TNU,Asia Pacific,Taiwan,,1,
Dexterity Team,deX,Brazil,Brazil,,1,
DIA Ozarox Esports,DIA,EMEA,Turkey,,0,
Diablo Chairs,DCH,Europe,Poland,,1,
Diabolus Esports,DBL,Europe,United Kingdom,,1,
Diamant Esports,DIA,EMEA,Slovenia,,1,
Diamond Doves,DD,Latin America,Peru,,1,
Diamond Team,DIA,SEA,Philippines,,1,
Different Dimension,DD,Europe,Greece,,1,
Different Dimension Blue,DD B,Europe,Greece,,1,
Digital Paradox,DGPX,Europe,Poland,,1,
Dignitas,DIG,North America,United States,,0,
Dignitas Academy,DIG.A,North America,United States,,1,Dignitas Challengers
Dignitas Challengers,DIGC,North America,United States,,1,
Dignitas Mirage,DIG.M,North America,,,1,
Dimegio Club,DMG,Europe,Spain,,1,
Dinka Never Homeless Again,DNHA,North America,,,1,
Dire Cubs,DC,Oceania,Australia,,1,
Dire Wolves,DW,Asia Pacific,Australia,,1,
Direct Rising eSports,DR,EMEA,Germany,,1,
Dirt Nap Gaming,DNG,North America,United States,,1,
Disguised,DSG,North America,United States,,0,
Disruptors,DS,EMEA,Saudi Arabia,,0,
Divernex,DVX,EMEA,Czech Republic,,0,
Diversion Gaming,DVG,EMEA,Czech Republic,,1,
Divine Vendetta,DV,MENA,United Arab Emirates,,1,
DIVIZON,DIV,EMEA,,,1,
DJ Team (稻江哈士奇),DJT,Asia Pacific,Taiwan,,1,
DK Crew,DK,North America,,,1,
DKB XPERION NXT,DKB,EMEA,Germany,,0,
DMG Esports,DMG,EMEA,Norway,,0,
DN SOOPers,DNS,Korea,South Korea,,0,
DN SOOPers Academy,DNS.A,Korea,South Korea,,0,
DN SOOPers Challengers,DNS.C,Korea,South Korea,,0,
DnH Advance,DnH.ADV,LAN,Mexico,,1,
DOCISK,DOC,EMEA,Poland,,0,
DOCISK Academy,DOCA,EMEA,Poland,,0,
DOCISK Hussars,DOCH,EMEA,Poland,,1,G2 Hussars
Docta Esports,DOH,Brazil,Argentina,,0,
Dolphins,DOL,CIS,Europe,,1,
Dom Spokojnej Starości,DSS,Europe,Poland,,1,EAS Team ESCA Gaming
Domino Computer,DCT,EMEA,Poland,,0,
Dominus Esports,DMO,China,China,,1,ThunderTalk Gaming
Dominus Esports Young,DMOY,China,,,1,ThunderTalk Gaming Young
Domme Jongens,DOM,Europe,Netherlands,,1,
DomoSoCute,DSC,LMS,Taiwan,,1,
Dont Ban Gragas,DBG,North America,,,1,
Dopamina E-Sport,DPM,Americas,Brazil,,1,
Dorado Gaming,DOG,North America,United States,,0,
Dorado Gaming Black,DOGB,Americas,,,0,
Dorado Gaming White,DOG,Americas,,,1,
Double Crunch Team Italy,DCTI,Europe,,,1,
DoubleBuff,DBB,North America,United States,,1,
Douyin Tony Top,DTT,North America,,,1,
Doxa Gaming,DOXA,Europe,Portugal,,1,
DP5 Makios,DP5M,Latin America,Mexico,,1,
Dplus Esports Academy,DEA,Korea,South Korea,,1,
Dplus Kia,DK,Korea,South Korea,,0,
Dplus Kia Academy,DK.Y,Korea,South Korea,,0,
Dplus Kia Challengers,DK.C,Korea,South Korea,,0,
Dragon Army,DA,CIS,Russia,,1,
Dragon Army Academy,DA.A,CIS,Russia,,1,
Dragon Gate Team,DG,LMS,Hong Kong,,1,
Dragon Team,Dragon,CIS,Russia,,1,
DragonBorns,DB,Europe,Europe,,1,
Dragonfly Gaming,DFG,Japan,Japan,,1,
Dragons E.C.,DRG,Europe,Spain,,1,
Dragons Esports,DRAG,EMEA,Saudi Arabia,,1,
Dragonsteel,DSTL,Americas,United States,,1,
Dragoon's Goons,GOON,North America,,,1,
Dramatik Gaming,DRMTK,North America,,,1,
Dramatik Royal,DKR,North America,United States,,1,
Dream Catcher Gaming,DCG,LMS,Taiwan,,1,
Dream Esports,DRM,EMEA,United States,,0,
Dream Makers,DM,EMEA,Spain,,1,
Dream or Reality,DoR,LMS,Taiwan,,1,
Dream Team,DT,North America,North America,,1,
Dream VGirls,DVG,China,China,Vici Gaming (Organization),1,
DreamCatcher,DC,China,China,,1,
DreamCatcher,DCC,LMS,Taiwan,,1,
DREN Esports,DREN,EMEA,Italy,,1,
Dropz Esports,DRZ,Europe,Italy,,1,
Druidz E-Sport Europe,DRU,Europe,Sweden,,1,
Drury University,DU,North America,,,0,
DRX Academy,DRX.A,Korea,,,1,
DS Gaming,DS,China,China,,1,
DSC3V,D3V,Latin America,Colombia,,1,
DSYRE,DSY,EMEA,,,1,
Duck In a Box,DIAB,SEA,Indonesia,,1,
DUCKIE GETTERS,DUCK,North America,,,0,
Ducks Deluxe x Evil Geniuses,DUCK,North America,United States,,0,
Ducks on Fire,DoF,LAN,Peru,,1,
Dulcet Essence,eS,SEA,Malaysia,,1,
Dung Dynasty,DND,EMEA,Germany,,1,
Dusty,DY,EMEA,Iceland,,0,
Dutch Community Team,DCT,EMEA,Netherlands,,1,
Dylema Gaming,DYL,Latin America,Chile,,1,
Dynamo Eclot,DNE,EMEA,Czech Republic,,1,
Dynamo Eclot Talents,DNET,EMEA,Czech Republic,,1,
Dynamo Esports,DNM,Europe,Czech Republic,,1,
Dynasty,DYN,EMEA,Netherlands,,0,
Dynasty Academy,DYN.A,Europe,Netherlands,,1,
Dynasty Gaming,DNS,LAS,Argentina,,1,
Đạt Gaming,DG,Vietnam,Vietnam,,1,
E WIE EINFACH E-SPORTS,EWI,EMEA,Germany,,0,
e-Champ Gaming,ECG,Brazil,Brazil,,1,
e-Champ Gaming Trainee,ECG.T,Brazil,Brazil,,0,
E-corp Gaming,EC,Europe,Switzerland,,1,
E-corp Gentle,ECG,Europe,France,,1,
e-Meryci,eM,Europe,Poland,,1,
e-mFire,EMF,Korea,South Korea,,1,
E-nsane Gaming,ENS,EMEA,Poland,,1,
e-Sports Dragons Pro,EDP,LMS,Taiwan,,1,
e.Hub United,EHU,SEA,Vietnam,,1,
e.o.s Gaming,EOS,SEA,Thailand,,1,
E9Sports,E9S,MENA,Tunisia,,1,
Eanix,ENX,North America,North America,,1,
Earth Revolution Gaming,ERG,Europe,Italy,,1,
EAS Team ESCA Gaming,EAS,Europe,,,1,
Eat Sleep Game,EAT,Korea,South Korea,,1,
EBD LEGENDs,EBD,LMS,Hong Kong,,1,
EBRO,EBG,Latin America,Argentina,,1,
Echo Fox,FOX,North America,United States,,1,
Echo Fox Academy,FOX.A,North America,United States,,1,
Eclipse,ECL,EMEA,France,,1,
Eclipse Gaming,ECG,Americas,Chile,,1,
Eclypsia,EC,Europe,France,,1,
Eclypsia.Luna,EC,Europe,France,,1,
ECORP,ECP,EMEA,Spain,,1,
Edelweiss Europe,EDW.EU,Europe,Chile,,1,
EDG Youth Team,EDG.Y,China,,,0,
EDward Esports,EDE,China,China,,1,
EDward Gaming,EDG,China,China,,0,
eEriness,eE,Europe,Czech Republic,,1,
Eesti Rästikud,VIP,EMEA,Estonia,,0,
EFIVE Esports,E5,Europe,Portugal,,1,
EFS,EFS,Korea,South Korea,,1,
eGekko,EGK,EMEA,Spain,,1,
EGN Esports,EGN,EMEA,Portugal,,1,
EGN Esports Academy,EGN.A,Europe,Portugal,,1,
Ego Geniuses,EGO,North America,,,1,
EGZ Esports,EGZ,MENA,,,1,
EHOME,EHOME,China,China,,1,
Ei Nerd Esports,NERD,Brazil,Brazil,,0,
Eintracht Frankfurt,SGE,EMEA,Germany,,0,
Eintracht Spandau,EINS,EMEA,Germany,,0,
Eintracht Spandau Zwei,ZWEI,EMEA,Germany,,0,
EKO Esports,EKO,EMEA,Italy,,0,
eKoVy,EKV,Europe,Czech Republic,,1,
El Dafayat Esports,DFT,EMEA,Egypt,,1,
ELaB x EXP,EXP,Korea,South Korea,,1,
Elan DEspoir,EDE,Europe,Switzerland,,1,
Element Mystic,EM,Korea,South Korea,,1,
Elementalist,EL,EMEA,Poland,,1,
Elementaries Esport Club,ELMT,Europe,France,,1,
Elements,EL,Europe,Europe,,1,
Elements Pro Gaming,EPG,CIS,Russia,,1,
Elite Masters,eM,LAS,Uruguay,,1,
Elite Wolves,EW,LAN,Peru,,1,
EloHell,EH,Europe,Poland,,1,
ELR Gaming,ELR,Latin America,Colombia,,1,
ELROY Gaming,ELG,Korea,South Korea,,1,
Elysium Gaming,ELY,Europe,Greece,,1,
Ember,MBR,North America,North America,,1,
Ember Foxes,EF,North America,,,0,
Embrace Whatever Happens,EWH,Asia Pacific,Taiwan,,0,
emBRAZA! Esports,BRA,Brazil,Brazil,,0,
Emerald Prisoners,EMP,EMEA,Ukraine,,1,
Emerald Prisoners Academy,EMPA,EMEA,Ukraine,,1,
Emissary Esports,EMS,North America,,,1,
eMonkeyz,EMZ,Europe,Spain,,1,
Emperor Gaming,ERG,EMEA,Greece,,1,
Emprox,EMP,Oceania,Australia,,1,
Empyreans,EMPY,North America,North America,,1,
ENCE,ENCE,Europe,Finland,,1,
Enclave,ENC,Europe,United Kingdom,,1,
ENEMI3S,NM3,EMEA,Italy,,1,
Enemy,NME,North America,North America,,1,
Energy Pacemaker,EP,China,Hong Kong,,1,
Energy Pacemaker.All,EPA,China,China,,1,
Energy Pacemaker.Carries,EPC,China,China,,1,
Energy Pacemaker.YCSM,EP.Y,LMS,Hong Kong,,1,
Enix Esports,ENIX,CIS,,,1,
eNsure,eN,Europe,Lithuania,,1,
Entropiq,EIQ,EMEA,Czech Republic,,1,
Entropy x Teufel,ExT,EMEA,Germany,,1,
Epic Avalanche,EA,EMEA,Finland,,0,
EPIC-DUDES,ED,EMEA,Germany,,1,
EPIK Gamer,EPIK,North America,United States,,1,
Epiphany Bolt,EB,Europe,Sweden,,1,
Epsilon Esports,EPS,Europe,Belgium,,1,
Equinox Core,EQX,Asia Pacific,Taiwan,,1,Embrace Whatever Happens
eQuizers,EQZ,EMEA,Spain,,1,
Erfolg Esports,EFG,EMEA,Spain,,1,
ERKO Esports,ERKO,EMEA,Czech Republic,,1,
ES Sharks,ESS,Korea,South Korea,,1,
ESC Ever,ESC,Korea,South Korea,,1,bbq Olivers
ESC Gaming,ESC,Europe,Germany,,1,
ESC Gaming,ESC,Europe,Italy,,1,
ESC Gaming Europe,ESC EU,Europe,Europe,,1,
ESC Gaming Omega,ESC,Europe,Italy,,1,
ESC Shane,ESC,Korea,South Korea,,1,
ESCORT P9,P9,Europe,Latvia,,1,PIGSPORTS
ESCORT P9 Academy,P9.A,Europe,,,1,PIRTS
Espectro eSports,EPT,Europe,Spain,,1,
Espergærde eSport,ESP,EMEA,Denmark,,1,
Esport Academy,EAC,Europe,Czech Republic,,1,
Esport Empire,EE,Europe,Italy,,1,
eSport Rhein-Neckar,ERN,Europe,Germany,,1,
Esport STUBA,STU,EMEA,,,0,
Esports Academy,EAC,Europe,,,1,
eSports Cologne e.V.,ECO,EMEA,Germany,,1,
ESports Connected,ESC,Korea,South Korea,,1,Seorabeol Gaming
eSports Nord e.V.,Nord,Europe,Germany,,1,
Esports Performance Center,EPC,Europe,,,1,devils.one
Esprit Shōnen,ES,EMEA,France,,0,
Estadio Quesito,EQ,Europe,Spain,Team Queso (Organization),1,
eStar,ES,China,China,,1,Ultra Prime
eStar Young,ESY,China,,,1,Ultra Prime Academy
Estoril Praia eSports,EPE,Europe,Portugal,,1,
ESTORM,STM,Latin America,Mexico,,1,
Estral Esports,EST,Brazil,Mexico,,0,
Estral Esports Aurora,EST.A,Americas,Mexico,,1,
Estrogen Gap,EG,North America,,,1,
Estúdio XP e-Sports,EXP,Brazil,Brazil,,1,
eSuba,ESB,EMEA,Czech Republic,,0,
ESUG Ultimate Five Feeder,UFF,EMEA,Germany,,0,
Et cetera,ETC,Europe,Poland,,1,
Eterna,ETR,EMEA,,,0,
Eternal Fire,EF,EMEA,Turkey,,1,
Eternals Gaming,ESG,Brazil,,,0,
Eternity Gaming,EG,Europe,United Kingdom,,1,
Ethereal Enigmas,EE,EMEA,Slovakia,,0,
Ethernum Esports,ETN,Latin America,Colombia,,1,
eUnited,EUN,North America,United States,,1,
EURONICS Gaming,ESG,Europe,Germany,,1,
Europe Saviors Anonymous,EUS.A,Europe,Spain,,1,Europe Saviors Omega
Europe Saviors Club,EUS,EMEA,Spain,,1,
Ever8 Winners,EEW,Korea,South Korea,,1,Winners
Evil genius,EG,Asia Pacific,Vietnam,,1,
Evil Geniuses,EG,North America,United States,,1,
Evil Geniuses Academy,EG.A,North America,United States,,1,Evil Geniuses Challengers
Evil Geniuses Challengers,EGC,North America,United States,,1,
Evil Geniuses Prodigies,EG.P,North America,United States,,1,
Evil Geniuses.EU,EG,Europe,North America,,1,Evil Geniuses.NA
Evilvice Esports,EVV,Latin America,Chile,,1,
Evolve,EVO,Europe,Netherlands,,1,
EVOPLAY,EVO,Europe,,,1,
EVOS Esports,EVS,Vietnam,Indonesia,,1,
EVOS Valkyrie,EVS.V,Vietnam,Indonesia,,1,
eWolves Brazil,WOL,Americas,Portugal,,1,
eWolves Ignis,WOL.I,Brazil,Portugal,,1,
eWolves Lycans,WOL.L,Americas,Brazil,,1,
Ex Nihilo,EXN,Europe,United Kingdom,,1,
exceL Academy,xL.A,Europe,United Kingdom,,1,Excel UK
Excel Esports,XL,EMEA,United Kingdom,,1,
Excess Success,ES,Europe,Iceland,,1,
eXeAt eSports Club,eXeAt,LAS,Argentina,,1,
exeed,EXD,EMEA,Italy,,1,exeed Poland
exeed,EXD,EMEA,Italy,,1,
Exgs,Exgs,SEA,Singapore,,1,
Exile,Exile,SEA,Philippines,,1,
EXILE esports,EXE,EMEA,Czech Republic,,0,
EXILE esports Academy,EXEA,EMEA,Czech Republic,,0,
Exilium Gaming,ExG,Latin America,Colombia,,1,
Exilium Hunters,TEX,Latin America,Colombia,,1,
eXtatus,EXT,Europe,Czech Republic,,1,
Extreme Dive Gaming,EDG,Korea,South Korea,,1,
eXtreme Divide e-Sport Team,eMD,LMS,Taiwan,,1,
eXtreme Divide ExeCuTioNeR,eMD.E,LMS,Hong Kong,,1,
Extreme Team,ET,Europe,Greece,,1,
EYES ON U,EOU,Europe,Germany,,1,
EYES ON U Europe,EOU.EU,Europe,Germany,,1,
Eyeshield Gaming,EYE,Europe,Portugal,,1,
F-Soul Esports,FS,LMS,Hong Kong,,1,
F3VP,F3VP,North America,,,1,
Fact Revolution,Fact,Europe,Norway,,1,
Faerie Charm,FRC,Asia Pacific,Singapore,,0,
Fajnie Mieć Skład Academy,FMSA,EMEA,Poland,,1,
Falafel Gaming,FLFG,North America,,,1,
Falcon E-Sports,FLN,Europe,Latvia,,1,
Falcons,FAL,EMEA,Spain,,1,
Falke Esports,FLK,EMEA,Spain,,0,
FALKN,FLK,EMEA,Sweden,,1,
Falkol,FKL,Brazil,Brazil,,1,Vorax
Falkol Academy,FKL.A,Brazil,,,1,
Falkol Storm,STM,Brazil,Brazil,,1,
Fallen Gods,FG,Europe,Greece,,1,
False Facade Gaming,FF,North America,,,1,
Fanshawe College,FC,North America,,,1,
Fantastic Esports,FE,EMEA,Croatia,,1,
Fantasy Gaming,FSY,Latin America,Peru,,1,
Far East Eagle (遠大鷹),FEU,Asia Pacific,Taiwan,,1,
Farenvehn,FVN,Brazil,Argentina,,1,
Farenvehn Fem,FVN.F,Brazil,Argentina,,0,
Fast8,F8,Asia Pacific,Japan,,0,
Fatal Ambition,FTA,Latin America,United States,,1,
Fatcat's Fatties,MEOW,North America,,,1,
FC Nantes Esports,FCN,EMEA,France,,1,
FC Schalke 04 Esports,S04,EMEA,Germany,,1,
FC Schalke 04 Evolution,S04E,Europe,Germany,,1,
Fear x Starforge,FXS,Americas,United States,,1,
Feel our Skill Female,FoS.F,Europe,Poland,,1,
Feint Gaming,FNT,Latin America,Argentina,,1,
Femmes Fatales,FF,EMEA,Europe,,1,
FEN1X eSports,F1X,Europe,Spain,,1,
Fenerbahçe Academy,FB.A,Turkey,Turkey,,1,
Fenerbahçe Esports,FB,Turkey,Turkey,,1,
FENNEL,FL,Asia Pacific,Japan,,0,
FENNEL Academy,FL.A,Asia Pacific,Japan,,1,
Fenris eSports Academy Blue,FES,Europe,Germany,,1,
Fervent Esports,FVE,Asia Pacific,Philippines,,0,
FH eSports,FH,Europe,Iceland,,1,
Fiction eSports,FCN,North America,United States,,1,
Fidelis,FD,North America,,,1,
Filhos do Moita,FDM,Brazil,Brazil,,0,
Final Five,F5,North America,United States,,1,Vortex (North American Team)
Final Form,FFE,North America,,,1,
Finetwork KOI,FNK,EMEA,Spain,,1,
Fire Dragoon Esports,FDG,SEA,Malaysia,,1,
Fireball,FBL,LMS,Hong Kong,,1,
First Blood Crusade,FBC,North America,,,1,
Fish Dive Team,FD,LMS,Hong Kong,,1,
Fisher College,FC,North America,,,0,
Fission Esports,FIS,North America,United States,,1,
Five Kings,5K,Europe,,,1,
Five Leaf Clover,FLC,North America,United States,,0,
Flama Esports,FL,Europe,Spain,,1,
FlameHard,FLH,EMEA,Portugal,,0,
Flamengo Academy,FLA.A,Brazil,Brazil,,1,
Flamengo MDL,FLA,Brazil,Brazil,,1,
Flash Husky,FH,LMS,Taiwan,,1,
Flash Wolves,FW,LMS,Taiwan,,1,
Flash Wolves Junior,FWJ,LMS,Taiwan,,1,Flash Husky
Flashdive,FD,SEA,Thailand,,1,MiTH Flashdive
Flayn eSports,FYN,Europe,Austria,,1,
Flayn eSports CZSK Edition,FYN.CZ,Europe,Austria,,1,
Flayn eSports Swiss Edition,FYN.CH,Europe,Austria,,1,
Florida Southern College,FSC,North America,,,0,
Florida State Esports Garnet,FSU,North America,,,0,
Fløng Esports Elite,FLG.E,Europe,Denmark,,1,
Fluffy Tail,FT,Europe,Poland,,1,
Fluxo,FX,Americas,Brazil,,1,Fluxo W7M
Fluxo Academy,FX.A,Americas,Brazil,,1,
Fluxo W7M,FX,Brazil,Brazil,,0,
FLY FAM,FLYF,North America,United States,,1,
Fly Family,FF,North America,,,1,
FLY5,FLY5,EMEA,Czech Republic,,1,
FLY5 Academy,FLY5A,EMEA,Czech Republic,,1,
FlyQuest,FLY,North America,United States,,0,
FlyQuest Academy,FLY.A,North America,United States,,1,FlyQuest Challengers
FlyQuest NZXT,FLYC,Americas,United States,,1,
FlyQuest RED,FLYR,North America,United States,,0,
FM eSports,FM,Europe,United Kingdom,,1,
FN Esports,FNE,EMEA,South Korea,,1,
Fnatic,FNC,EMEA,United Kingdom,,0,
Fnatic Academy,FNC.A,Europe,United Kingdom,,1,Fnatic Rising
Fnatic Rising,FNC.R,Europe,United Kingdom,,1,Fnatic TQ
Fnatic TQ,FNTQ,EMEA,Spain,,1,
Fog Esports,FOG,EMEA,Saudi Arabia,,1,
Footprint Gaming,FPG,EMEA,Germany,,1,
For The Win,FOR,LMS,Taiwan,,1,
For The Win Esports,FTW,EMEA,Portugal,,1,
Force of Nature,FON,LAS,Argentina,,1,
Forger Esports,FGE,LMS,Hong Kong,,1,
Formulation Gaming,FMG,EMEA,Norway,,1,
Forsaken,FSK,EMEA,Poland,,0,
Fortius,FTS,SEA,Indonesia,,1,
