team_id,code,name,slug,league,region_zh,region_en,tier,status,player_count,logo
109433598304001524,MVPO,MVP Ozone,mvp-ozone,LCK,韩国赛区,KOREA,major,active,0,http://static.lolesports.com/teams/1669824189405_MVPlogo_square.png
109433601930868405,CJEB,CJ Entus Blaze,cj-entus-blaze,LCK,韩国赛区,KOREA,major,active,0,http://static.lolesports.com/teams/1669824234360_CJ_Entus_Blazelogo_square.png
109433603949467259,CJEF,CJ Entus Frost,cj-entus-frost,LCK,韩国赛区,KOREA,major,active,0,http://static.lolesports.com/teams/1669824275700_CJ_Entus_Frostlogo_square.png
109433604634494658,CJEF,CJ Entus Frost,cj-entus-frost,LCK,韩国赛区,KOREA,major,archived,0,http://static.lolesports.com/teams/1669824286330_CJ_Entus_Frostlogo_square.png
109433612400465534,SKTK,SK Telecom T1 K,sk-telecom-t1-k,LCK,韩国赛区,KOREA,major,active,0,http://static.lolesports.com/teams/1669925879855_SK_Telecom_T1_Klogo_square.png
109433614661392001,SKTS,SK Telecom T1 S,sk-telecom-t1-s,LCK,韩国赛区,KOREA,major,active,0,http://static.lolesports.com/teams/1669925625507_SK_Telecom_T1_Slogo_square.png
109433621123982220,AHQK,ahq e-Sports Club Korea,ahq-esports-club-korea,LCK,韩国赛区,KOREA,major,active,0,http://static.lolesports.com/teams/1669824538091_Ahq_e-Sports_Club_Korealogo_square.png
109434431268593370,JAGF,Jin Air Green Wings Falcons,jin-air-green-wings-falcons,LCK,韩国赛区,KOREA,major,active,0,http://static.lolesports.com/teams/1669836899652_Jin_Air_Green_Wings_Falconslogo_square.png
109434439982718685,JAGS,Jin Air Green Wings Stealths,jin-air-green-wings-stealths,LCK,韩国赛区,KOREA,major,active,0,http://static.lolesports.com/teams/1669837021841_Jin_Air_Green_Wings_Stealthslogo_square.png
109434445764151073,IM1,Incredible Miracle 1,incredible-miracle-1,LCK,韩国赛区,KOREA,major,active,0,http://static.lolesports.com/teams/1669837109915_Incredible_Miracle_1logo_square.png
109434447987220192,IM2,Incredible Miracle 2,incredible-miracle-2,LCK,韩国赛区,KOREA,major,active,0,http://static.lolesports.com/teams/1669837154810_Incredible_Miracle_2logo_square.png
109434452753434404,CTU,Chunnam Techno University,chunnam-techno-university,LCK,韩国赛区,KOREA,major,active,0,http://static.lolesports.com/teams/1669837216506_Chunnam_Techno_Universitylogo_square.png
109434457468051171,MIGB,MiG Blitz,mig-blitz,LCK,韩国赛区,KOREA,major,active,0,http://static.lolesports.com/teams/1669837288890_Maximum_impact_Gaminglogo_square.png
109434460601435943,XENB,Xenics Blast,xenics-blast,LCK,韩国赛区,KOREA,major,active,0,http://static.lolesports.com/teams/1669837347348_Xenics_Blastlogo_square.png
109440268842976196,TNB,Team NB,team-nb,LCK,韩国赛区,KOREA,major,active,0,http://static.lolesports.com/teams/1669925975468_Team_NBlogo_square.png
