player_id,position,league,tier,games,winrate,操作,运营,心态,指挥,体质,适应力,总评,逆风局数,翻盘率,英雄池,_boxz,_impz,_resid,teams,年龄
TheShy,top,LPL,1,79,0.835,75.3,46.6,71.6,61.5,60.2,64.7,76.7,6,0.5,21,0.62,3.285,2.488,Invictus Gaming,19
Rookie,mid,LPL,1,161,0.72,74.7,57.6,48.4,62.2,53.5,57.2,76.1,20,0.2,23,0.57,3.048,2.284,Invictus Gaming,18
Baolan,sup,LPL,1,160,0.719,64.4,56.0,55.3,58.4,47.9,50.0,75.3,20,0.2,16,0.241,2.975,2.185,Invictus Gaming,19
Ning,jng,LPL,1,160,0.719,70.6,47.5,50.1,64.8,45.3,56.9,75.3,20,0.2,19,0.243,2.952,2.662,Invictus Gaming,20
JackeyLove,bot,LPL,1,155,0.723,66.1,46.2,51.9,64.1,49.3,54.7,75.1,19,0.211,18,0.107,2.999,2.562,Invictus Gaming,18
Lehends,sup,LCK,1,96,0.76,73.6,59.2,57.3,54.0,37.7,51.6,74.9,13,0.154,12,0.529,2.584,1.604,Griffin,20
Uzi,bot,LPL,1,115,0.67,76.2,65.6,47.9,79.3,40.5,48.6,74.7,15,0.067,13,0.719,2.358,1.388,Royal Never Give Up,27
Viper,bot,LCK,1,100,0.76,62.6,59.0,53.0,62.0,38.9,70.0,74.4,13,0.154,26,0.157,2.729,2.262,Griffin,18
Sw0rd,top,LCK,1,100,0.76,55.0,57.4,51.3,67.8,40.1,60.0,73.9,13,0.154,22,-0.03,2.729,2.582,Griffin,21
Ming,sup,LPL,1,165,0.655,58.4,60.2,46.4,57.4,51.7,57.9,73.8,22,0.091,15,0.058,2.634,2.049,Royal Never Give Up,20
Xiaohu,mid,LPL,1,165,0.655,57.1,54.9,48.0,63.3,53.8,59.8,73.6,22,0.091,25,-0.007,2.634,2.444,Royal Never Give Up,20
Tarzan,jng,LCK,1,98,0.755,57.1,60.1,52.7,63.3,41.6,58.0,73.5,13,0.154,19,0.065,2.556,2.437,Griffin,19
Peanut,jng,LCK,1,99,0.677,60.2,64.8,51.0,60.2,39.5,56.6,72.7,9,0.111,19,0.194,2.25,1.989,Gen.G|Kingzone DragonX,20
Caps,mid,EU LCS,1,82,0.683,69.3,53.3,59.8,57.0,56.1,67.5,72.7,11,0.364,26,0.36,2.121,1.578,Fnatic,19
