player_id,position,league,tier,games,winrate,操作,运营,心态,指挥,体质,适应力,总评,逆风局数,翻盘率,英雄池,_boxz,_impz,_resid,teams,年龄
Knight,mid,LPL,1,128,0.758,72.0,61.6,50.8,72.2,42.6,58.8,77.0,2,0.0,22,0.502,3.595,2.287,Bilibili Gaming|JD Gaming,23
Ruler,bot,LPL,1,125,0.76,66.2,67.4,53.2,77.0,52.4,53.3,76.9,2,0.0,14,0.44,3.561,2.812,JD Gaming,25
Kanavi,jng,LPL,1,125,0.76,71.2,57.5,51.5,72.7,52.6,67.7,76.9,2,0.0,22,0.421,3.561,2.507,JD Gaming,23
Chovy,mid,LCK,1,133,0.714,69.6,71.9,76.7,64.2,46.4,67.0,76.7,12,0.417,24,0.912,3.066,1.574,Gen.G,22
369,top,LPL,1,128,0.766,48.4,58.7,48.0,71.2,55.6,57.0,76.3,2,0.0,18,-0.156,3.71,2.943,JD Gaming|Top Esports,22
Faker,mid,LCK,1,134,0.687,52.6,48.2,67.3,79.9,45.4,59.4,76.3,12,0.25,24,-0.072,3.657,2.771,T1,27
Delight,sup,LCK,1,133,0.714,64.6,59.9,75.9,55.2,63.1,63.4,76.2,12,0.417,23,0.574,3.066,1.902,Gen.G,21
MISSING,sup,LPL,1,125,0.76,52.9,56.2,45.6,66.5,54.2,52.9,76.1,2,0.0,19,-0.096,3.561,2.85,JD Gaming,22
Peyz,bot,LCK,1,133,0.714,61.9,60.0,76.0,56.3,53.0,63.3,76.0,12,0.417,19,0.482,3.066,2.293,Gen.G,18
Doran,top,LCK,1,133,0.714,64.5,52.3,72.7,66.1,61.2,56.9,75.8,12,0.417,20,0.37,3.066,2.03,Gen.G,22
Destroy,top,TCL,15,74,0.784,70.2,60.3,68.8,70.9,43.9,58.4,75.3,7,0.429,14,0.601,2.686,2.082,İstanbul Wildcats,23
BAO,bot,TCL,15,74,0.784,69.9,58.9,72.9,68.1,37.4,49.4,75.3,7,0.429,11,0.571,2.686,2.117,İstanbul Wildcats,22
Peanut,top,VL,3,24,0.708,54.3,53.8,53.3,80.0,61.0,47.3,75.2,6,0.167,8,-0.074,3.195,4.064,Descuydado Aucas Esports,25
Aiming,bot,LCK,1,129,0.674,65.0,65.1,67.3,66.2,67.8,49.5,74.7,20,0.2,14,0.568,2.476,1.641,KT Rolster,23
Keria,sup,LCK,1,152,0.632,71.8,60.2,61.5,51.0,51.1,64.3,74.6,15,0.2,28,0.613,2.428,1.352,T1,21
JunJia,jng,PCS,15,73,0.753,70.1,61.1,65.8,58.8,57.1,62.7,74.4,4,0.25,17,0.582,2.369,1.825,PSG Talon,21
Kiin,top,LCK,1,129,0.674,64.9,60.0,64.4,70.4,67.6,52.8,74.4,20,0.2,20,0.462,2.476,1.498,KT Rolster,24
