player_id,position,league,tier,games,impact_raw,impact_z,impact_100
113,jng,TCL,2,77,0.2111,2.842,80.7
Cboi,jng,ROL,2,71,0.2077,2.797,80.6
Canyon,jng,LCK,1,124,0.2063,2.778,80.6
Chovy,mid,LCK,1,124,0.2063,2.778,80.6
Duro,sup,LCK,1,124,0.2063,2.778,80.6
Kiin,top,LCK,1,124,0.2063,2.778,80.6
Ruler,bot,LCK,1,124,0.2063,2.778,80.6
Knight,mid,LPL,1,173,0.2022,2.722,80.5
ON,sup,LPL,1,173,0.2022,2.722,80.5
Viper,bot,LPL,1,173,0.2022,2.722,80.5
Xun,jng,LPL,1,173,0.2022,2.722,80.5
Aether,sup,LAS,2,64,0.1978,2.663,80.4
Shy Carry,bot,EBL,2,64,0.1956,2.634,80.4
B Butcher,sup,AL,2,82,0.194,2.611,80.4
FlickeR,bot,ROL,2,72,0.1936,2.606,80.3
Seal,sup,ROL,2,72,0.1936,2.606,80.3
Wolorz,mid,ROL,2,72,0.1936,2.606,80.3
Ragner,top,TCL,2,76,0.1849,2.489,80.1
Archer,bot,LJL,2,72,0.1822,2.452,80.0
Carim,jng,LAS,2,66,0.1817,2.445,80.0
Bin,top,LPL,1,143,0.1806,2.43,80.0
Jool,mid,LFL,2,96,0.1782,2.399,79.9
Kryze,top,LFL,2,96,0.1782,2.399,79.9
Zicssi,jng,LFL,2,96,0.1782,2.399,79.9
Carlsen,top,LFL,2,114,0.1744,2.347,79.8
HARPOON,bot,LFL,2,114,0.1744,2.347,79.8
OMON,mid,LFL,2,114,0.1744,2.347,79.8
Thayger,jng,LFL,2,114,0.1744,2.347,79.8
Zoelys,sup,LFL,2,114,0.1744,2.347,79.8
Aetinoth,bot,LFL,2,95,0.1726,2.322,79.7
Piero,sup,LFL,2,95,0.171,2.301,79.7
Oner,jng,LCK,1,148,0.169,2.275,79.6
Batuuu,sup,LES,2,77,0.1668,2.245,79.5
Lure,bot,LES,2,77,0.1668,2.245,79.5
Mercy9,mid,LES,2,77,0.1668,2.245,79.5
Habubu,sup,PRM,2,105,0.1652,2.224,79.5
Speedy1,sup,HLL,2,82,0.1629,2.192,79.4
Unkn0wn,bot,HLL,2,82,0.1629,2.192,79.4
Oddie,jng,LRN,2,40,0.1625,2.187,79.4
