player_id,position,league,tier,games,winrate,操作,运营,心态,指挥,体质,适应力,总评,逆风局数,翻盘率,英雄池,_boxz,_impz,_resid,teams,年龄
ShowMaker,mid,LCK,1,137,0.745,67.6,71.5,72.6,64.1,47.5,60.9,77.4,23,0.435,25,0.793,3.603,2.151,Dplus Kia,21
BeryL,sup,LCK,1,147,0.741,73.4,61.2,70.4,72.8,54.3,69.6,77.3,24,0.417,24,0.774,3.603,2.133,Dplus Kia,24
Gavotto,bot,DDH,3,60,0.9,64.6,57.8,63.8,77.0,59.7,57.1,77.3,4,0.25,14,0.371,3.88,4.477,Kaos Latin Gamers|LDM Mexico|Team Aze,21
Canyon,jng,LCK,1,137,0.745,70.5,55.0,72.8,59.7,56.0,65.5,77.2,23,0.435,24,0.619,3.603,2.311,Dplus Kia,20
Tyr,sup,DDH,3,58,0.931,53.8,49.7,64.4,79.6,50.1,59.3,77.2,3,0.333,13,0.052,4.12,4.787,LDM Mexico|Team Aze,23
Khan,top,LCK,1,147,0.741,65.2,61.4,69.8,78.2,46.3,64.4,77.1,24,0.417,29,0.539,3.603,2.387,Dplus Kia,25
Mataz,jng,DDH,3,59,0.881,64.0,59.1,55.3,73.6,66.0,62.0,77.0,4,0.25,19,0.345,3.731,4.368,Team Aze,20
Ke,sup,LDL,2,110,0.755,53.5,52.9,75.7,77.4,56.7,56.1,76.8,10,0.6,12,0.173,3.712,3.687,Top Esports Challenger|Young Miracles,23
winnie,jng,CU,3,147,0.714,60.3,51.6,46.8,79.1,64.1,51.5,76.5,19,0.053,19,0.02,3.702,4.75,Not Academy Team|SolaFide Esports|Team Mountain Drake|Wildcard Gaming Red,22
Ghost,bot,LCK,1,137,0.745,51.2,58.0,74.5,80.5,51.3,53.9,76.4,23,0.435,17,0.176,3.497,2.656,Dplus Kia,27
Unified,bot,PCS,15,67,0.866,66.0,64.8,60.3,75.9,44.5,53.5,76.3,6,0.333,11,0.452,3.23,3.508,PSG Talon,22
River,jng,PCS,15,87,0.793,71.3,54.6,53.1,73.1,47.6,55.3,76.3,9,0.222,16,0.387,3.274,2.976,PSG Talon,22
Kaiwing,sup,PCS,15,87,0.793,62.9,62.2,56.1,77.8,44.8,55.0,76.2,9,0.222,14,0.328,3.274,3.006,PSG Talon,25
5fire,mid,BIG,3,101,0.762,63.3,50.4,43.1,78.8,47.5,52.0,76.1,4,0.0,20,-0.006,3.52,4.548,ANEW Esports|No Org|Team Cloud Drake,22
Hanabi,top,PCS,15,87,0.793,59.8,60.2,54.7,70.8,55.8,51.6,75.9,9,0.222,17,0.164,3.274,3.277,PSG Talon,21
Viper,bot,LPL,1,121,0.694,65.3,60.2,69.6,62.7,45.9,63.8,75.8,12,0.333,18,0.467,2.959,1.933,EDward Gaming,21
Ming,sup,LPL,1,139,0.683,62.2,60.8,64.8,70.1,41.6,45.1,75.8,17,0.353,12,0.291,3.136,2.146,Royal Never Give Up,23
Scout,mid,LPL,1,121,0.694,62.5,63.6,67.3,72.2,49.1,63.9,75.7,12,0.333,24,0.459,2.959,1.896,EDward Gaming,23
Maple,mid,PCS,15,87,0.793,58.2,55.5,56.6,78.7,38.7,61.4,75.7,9,0.222,24,0.075,3.274,3.522,PSG Talon,24
Jiejie,jng,LPL,1,116,0.707,51.4,58.6,66.5,59.8,46.9,55.3,75.5,12,0.333,17,0.123,3.118,2.32,EDward Gaming,20
Xiaolaohu,top,LDL,2,101,0.693,70.9,61.8,63.4,62.1,42.0,46.0,75.3,9,0.333,12,0.555,2.697,2.217,FunPlus Phoenix|FunPlus Phoenix Blaze,19
V1per,top,LCSA,2,143,0.657,75.2,55.7,55.5,75.7,38.4,59.4,75.3,12,0.167,25,0.549,2.714,2.24,ANEW Esports|Immortals Academy|No Org,23
GALA,bot,LPL,1,142,0.669,68.1,55.4,71.0,55.7,43.2,41.9,75.3,17,0.353,13,0.43,2.8,1.827,Royal Never Give Up,20
Xiaohu,top,LPL,1,138,0.681,63.6,60.7,69.4,71.4,51.4,53.3,75.2,17,0.353,22,0.414,2.8,1.828,Royal Never Give Up,23
Meiko,sup,LPL,1,121,0.694,58.0,56.2,63.3,69.9,47.3,62.0,75.1,12,0.333,19,0.139,2.959,2.125,EDward Gaming,23
jiang,bot,LDL,2,84,0.762,63.7,55.6,61.5,71.5,46.3,55.0,75.0,9,0.333,14,0.305,2.818,2.96,FunPlus Phoenix Blaze,21
AnDa,jng,LCSA,2,143,0.657,64.5,64.0,56.5,80.4,43.4,57.9,74.8,12,0.167,24,0.342,2.714,2.736,ANEW Esports|Immortals Academy|No Org,26
Doinb,mid,LPL,1,119,0.655,58.8,68.3,63.1,77.0,60.9,61.6,74.8,7,0.286,24,0.448,2.605,1.614,FunPlus Phoenix|LNG Esports,25
Wei,jng,LPL,1,142,0.669,58.8,59.7,67.0,57.1,47.5,48.2,74.8,17,0.353,17,0.232,2.8,1.967,Royal Never Give Up,19
Lwx,bot,LPL,1,121,0.661,58.3,47.7,65.5,74.1,44.1,49.7,74.8,7,0.286,16,-0.005,2.976,2.36,FunPlus Phoenix,23
Flandre,top,LPL,1,121,0.694,52.0,53.8,70.4,73.3,40.0,62.1,74.8,12,0.333,24,0.05,2.959,2.259,EDward Gaming,23
Big,sup,BIG,3,85,0.776,58.2,46.4,45.6,76.1,79.4,47.1,74.8,2,0.0,10,-0.119,3.066,3.761,ANEW Esports|No Org,
Bie,sup,VCS,15,75,0.76,67.1,58.1,68.0,63.7,54.0,57.4,74.7,8,0.375,16,0.439,2.581,2.151,GAM Esports,22
