player_id,position,league,tier,games,impact_raw,impact_z,impact_100
Ghost,bot,LCK,1,95,0.203,3.431,81.2
XinLiu,sup,LDL,2,76,0.1893,3.199,81.1
JackeyLove,bot,LPL,1,97,0.1866,3.153,81.0
BeryL,sup,LCK,1,108,0.1739,2.938,80.8
369,top,LPL,1,129,0.1638,2.767,80.6
Karsa,jng,LPL,1,129,0.1638,2.767,80.6
Knight,mid,LPL,1,129,0.1638,2.767,80.6
Xun,jng,LDL,2,84,0.1599,2.702,80.5
Babip,jng,OPL,2,66,0.1586,2.679,80.5
Isles,sup,OPL,2,66,0.1586,2.679,80.5
Raes,bot,OPL,2,66,0.1586,2.679,80.5
Topoon,top,OPL,2,66,0.1586,2.679,80.5
Canyon,jng,LCK,1,121,0.157,2.652,80.4
ShowMaker,mid,LCK,1,121,0.157,2.652,80.4
Zoom,top,LPL,1,99,0.1544,2.609,80.3
Feikun,mid,LDL,2,83,0.154,2.601,80.3
sOnyky,sup,LMF,2,51,0.1535,2.594,80.3
Czekolad,mid,UL,2,72,0.1513,2.555,80.3
Woolite,bot,UL,2,72,0.1513,2.555,80.3
Zanzarah,jng,UL,2,72,0.1513,2.555,80.3
zs,top,LDL,2,84,0.1503,2.54,80.2
Pbd,sup,TCL,2,91,0.1497,2.529,80.2
Dia1,mid,VCS,2,95,0.1465,2.474,80.1
StarScreen,top,TCL,2,93,0.1463,2.471,80.1
Insulator,mid,LDL,2,89,0.1406,2.375,79.9
IceBreaker,top,GLL,2,73,0.1404,2.371,79.9
Ferret,jng,TCL,2,95,0.1389,2.345,79.8
Kaori,bot,TCL,2,95,0.1389,2.345,79.8
Serin,mid,TCL,2,95,0.1389,2.345,79.8
Palette,sup,VCS,2,99,0.1385,2.34,79.8
xiao7,top,LDL,2,88,0.1358,2.294,79.7
Nuguri,top,LCK,1,113,0.1355,2.289,79.7
Snow,bot,LDL,2,71,0.1352,2.283,79.6
Yagao,mid,LPL,1,110,0.1336,2.257,79.6
Szygenda,top,UL,2,68,0.1327,2.24,79.5
Blaber,jng,LCS,1,57,0.1313,2.217,79.5
Licorice,top,LCS,1,57,0.1313,2.217,79.5
Nisqy,mid,LCS,1,57,0.1313,2.217,79.5
Vulcan,sup,LCS,1,57,0.1313,2.217,79.5
Zven,bot,LCS,1,57,0.1313,2.217,79.5
Kanavi,jng,LPL,1,119,0.1308,2.209,79.4
LokeN,bot,LPL,1,119,0.1308,2.209,79.4
LvMao,sup,LPL,1,119,0.1308,2.209,79.4
Levi,jng,VCS,2,98,0.1292,2.182,79.3
jiang,bot,LDL,2,69,0.1284,2.168,79.3
Canna,top,LCK,1,104,0.1276,2.155,79.3
Youxin,jng,LDL,2,76,0.1271,2.147,79.2
Kati,mid,VCS,2,92,0.1269,2.143,79.2
Teddy,bot,LCK,1,103,0.1268,2.142,79.2
Bdd,mid,LCK,1,115,0.1262,2.131,79.2
Clid,jng,LCK,1,115,0.1262,2.131,79.2
Rascal,top,LCK,1,115,0.1262,2.131,79.2
Ruler,bot,LCK,1,115,0.1262,2.131,79.2
Kaiwing,sup,PCS,2,94,0.126,2.127,79.2
Effort,sup,LCK,1,114,0.1252,2.114,79.1
Life,sup,LCK,1,93,0.1241,2.096,79.1
AHaHaCiK,jng,LCL,2,54,0.1232,2.08,79.0
BOSS,top,LCL,2,54,0.1232,2.08,79.0
Diamond,sup,LCSA,2,50,0.1232,2.08,79.0
Fudge,top,LCSA,2,50,0.1232,2.08,79.0
