player_id,position,league,tier,games,impact_raw,impact_z,impact_100
Wolf,sup,OGN,2,107,0.3835,3.295,81.1
Bang,bot,OGN,2,119,0.3339,2.867,80.7
MaRin,top,OGN,2,119,0.3339,2.867,80.7
Clearlove,jng,MSI,1,22,0.2499,2.143,79.2
Deft,bot,MSI,1,22,0.2499,2.143,79.2
Meiko,sup,MSI,1,22,0.2499,2.143,79.2
PawN,mid,MSI,1,22,0.2499,2.143,79.2
Hojin,jng,OGN,2,84,0.2459,2.108,79.1
Huni,top,EU LCS,1,76,0.2421,2.076,79.0
Reignover,jng,EU LCS,1,76,0.2421,2.076,79.0
YellOwStaR,sup,EU LCS,1,76,0.2421,2.076,79.0
Faker,mid,OGN,2,81,0.2065,1.769,77.7
Albis,sup,LMS,2,69,0.2008,1.72,77.4
Amazing,jng,EU LCS,1,72,0.1837,1.573,76.5
Mithy,sup,EU LCS,1,72,0.1837,1.573,76.5
Zven,bot,EU LCS,1,72,0.1837,1.573,76.5
sOAZ,top,EU LCS,1,72,0.1837,1.573,76.5
Energy,mid,TCL,2,31,0.183,1.566,76.5
Nardeus,bot,TCL,2,41,0.1758,1.504,76.0
An,bot,LMS,2,71,0.1749,1.496,76.0
Westdoor,mid,LMS,2,71,0.1749,1.496,76.0
Ziv,top,LMS,2,71,0.1749,1.496,76.0
FEBIVEN,mid,EU LCS,1,79,0.167,1.428,75.5
Naru,mid,TCL,2,35,0.1667,1.427,75.5
Mountain,jng,LMS,2,59,0.1612,1.379,75.1
Dumbledoge,sup,TCL,2,48,0.16,1.369,75.0
Thaldrin,top,TCL,2,48,0.16,1.369,75.0
Shrimp,jng,NA CS,2,21,0.159,1.36,74.9
Easyhoon,mid,OGN,2,37,0.1587,1.357,74.9
Karsa,jng,LMS,2,59,0.1572,1.345,74.8
Crystal,jng,TCL,2,41,0.1554,1.329,74.7
Elwind,top,TCL,2,41,0.1554,1.329,74.7
Maple,mid,LMS,2,61,0.1525,1.304,74.4
SwordArt,sup,LMS,2,61,0.1525,1.304,74.4
Piccaboo,sup,OGN,2,61,0.1523,1.302,74.4
MadLife,sup,OGN,2,104,0.1443,1.233,73.8
Bengi,jng,OGN,2,102,0.1431,1.223,73.7
FORG1VEN,bot,EU LCS,1,53,0.1356,1.158,73.1
Kwon,sup,NA CS,2,27,0.1341,1.145,72.9
LokeN,bot,KeSPA,2,20,0.1327,1.133,72.8
Zeitnot,bot,TCL,2,41,0.1325,1.131,72.8
GorillA,sup,OGN,2,110,0.1257,1.073,72.2
Kuro,mid,OGN,2,110,0.1257,1.073,72.2
PraY,bot,OGN,2,110,0.1257,1.073,72.2
Smeb,top,OGN,2,110,0.1257,1.073,72.2
Rekkles,bot,EU LCS,1,59,0.1229,1.048,71.9
Stomaged,jng,TCL,2,42,0.1201,1.025,71.6
Hai,sup,NA LCS,1,63,0.1168,0.996,71.3
Cpt Jack,bot,OGN,2,29,0.1157,0.987,71.2
NL,bot,LMS,2,44,0.1147,0.978,71.0
xiaoweixiao,mid,NA LCS,1,47,0.1145,0.976,71.0
Kikis,jng,EU LCS,1,57,0.1132,0.965,70.9
Chieh,sup,LMS,2,34,0.1073,0.914,70.3
Kasing,sup,EU LCS,1,68,0.1063,0.905,70.1
Pobelter,mid,NA LCS,1,53,0.1043,0.888,69.9
Xmithie,jng,NA LCS,1,60,0.1043,0.888,69.9
aphromoo,sup,NA LCS,1,60,0.1043,0.888,69.9
Alex Ich,mid,NA CS,2,32,0.1042,0.888,69.9
Hjarnan,bot,EU LCS,1,65,0.1029,0.877,69.8
Darshan,top,NA LCS,1,58,0.1024,0.872,69.7
Sencux,mid,EU CS,2,33,0.1021,0.87,69.7
Odoamne,top,EU LCS,1,71,0.0985,0.838,69.3
Ryu,mid,EU LCS,1,71,0.0985,0.838,69.3
Dyrus,top,NA LCS,1,74,0.0981,0.835,69.2
Lustboy,sup,NA LCS,1,74,0.0981,0.835,69.2
Santorin,jng,NA LCS,1,74,0.0981,0.835,69.2
Fenix,mid,NA LCS,1,63,0.0962,0.818,69.0
IWDominate,jng,NA LCS,1,63,0.0962,0.818,69.0
Quas,top,NA LCS,1,63,0.0962,0.818,69.0
Xpecial,sup,NA LCS,1,63,0.0962,0.818,69.0
Pekin Woof,mid,NA CS,2,25,0.0952,0.81,68.9
fabFabulous,top,TCL,2,40,0.088,0.748,68.0
Rydle,sup,EU LCS,1,39,0.0871,0.74,67.9
xPeke,mid,EU LCS,1,67,0.0848,0.72,67.6
Olleh,sup,LMS,2,56,0.0843,0.716,67.5
Toyz,mid,LMS,2,56,0.0843,0.716,67.5
Loulex,jng,EU LCS,1,64,0.0834,0.708,67.4
Arrow,bot,OGN,2,105,0.0826,0.701,67.3
Score,jng,OGN,2,105,0.0826,0.701,67.3
Ssumday,top,OGN,2,105,0.0826,0.701,67.3
WildTurtle,bot,NA LCS,1,73,0.0823,0.699,67.3
DinTer,jng,LMS,2,53,0.0817,0.694,67.2
Wunder,top,EU CS,2,31,0.08,0.679,67.0
Shy,top,OGN,2,100,0.0796,0.676,66.9
Perkz,mid,EU CS,2,24,0.0789,0.67,66.8
Impact,top,NA LCS,1,63,0.0769,0.652,66.6
Athena,mid,KeSPA,2,22,0.0766,0.65,66.5
Crazy,top,KeSPA,2,22,0.0766,0.65,66.5
CozQ,mid,EU CS,2,42,0.0762,0.646,66.5
PowerOfEvil,mid,EU LCS,1,69,0.0762,0.646,66.5
GodJJ,bot,LMS,2,29,0.076,0.645,66.4
Maplestreet,bot,NA LCS,1,40,0.0757,0.642,66.4
Doublelift,bot,NA LCS,1,57,0.0742,0.629,66.2
Obvious,jng,EU CS,2,24,0.0711,0.603,65.8
Steak,top,LMS,2,52,0.0711,0.602,65.8
Pure,sup,OGN,2,67,0.0705,0.597,65.7
Chei,sup,OGN,2,73,0.0701,0.594,65.7
Bjergsen,mid,NA LCS,1,78,0.0694,0.587,65.5
Taikki,jng,TCL,2,22,0.0692,0.586,65.5
Nagne,mid,OGN,2,97,0.0682,0.577,65.4
Wickd,top,EU CS,2,34,0.0672,0.569,65.2
Coco,mid,OGN,2,108,0.067,0.567,65.2
Space,bot,OGN,2,108,0.067,0.567,65.2
Jwaow,top,EU LCS,1,29,0.0651,0.55,64.9
Adrian,sup,NA LCS,1,64,0.0649,0.549,64.9
Kobbe,bot,EU CS,2,30,0.0644,0.545,64.9
TrAce,top,OGN,2,87,0.0628,0.531,64.6
HolyPhoenix,bot,TCL,2,36,0.0606,0.512,64.3
Steve,top,EU LCS,1,37,0.0574,0.484,63.8
Theokoles,jng,TCL,2,37,0.0574,0.484,63.9
