player_id,position,league,tier,games,winrate,teams,操作,意识,心态,团队,体质,综合,操作_10,意识_10,心态_10,团队_10,体质_10,综合_10,f_gd15,f_xd15,f_cd15,f_dpm,f_dmgshare,f_cspm,f_multi,f_vspm,f_wcpm,f_cwards,f_kp,f_deathshare,f_ejg,f_adver,f_clutch,f_lateg,f_stable,f_egshare,f_dmgmit,f_gspd,f_games,f_decay
Medzz,mid,LDL,2,115,0.678,MAX,49.0,60.6,46.1,55.5,75.3,55.7,4.9,6.1,4.6,5.5,7.5,5.6,0.0,0.0,0.0,561.9824147826088,0.2556361643478261,8.49648695652174,0.0,0.9996452173913043,0.2038530434782609,4.660869565217391,0.6747624076029567,0.1889644746787604,2.365217391304348,0.15612119284074247,-0.25511586780276063,-0.3881464760636115,-0.796025164439802,0.21904292173913043,0.0,0.0,115.0,0.1345504586344067
XLC,sup,LDL,2,20,0.35,LGD Gaming Young Team,49.0,60.7,59.1,67.5,41.0,55.7,4.9,6.1,5.9,6.8,4.1,5.6,0.0,0.0,0.0,151.72754500000002,0.0785307,0.5724199999999999,0.0,2.28426,0.23391,15.1,0.7768595041322314,0.1906474820143885,0.0,0.305923537540304,0.03325004804920229,-0.8154910628483567,-0.9244911114790939,0.085845865,0.0,0.0,20.0,-0.2077744319737202
Konodio,sup,LDL,2,56,0.25,Shu Dai Xiong Gaming,57.9,58.0,61.7,45.8,49.5,55.6,5.8,5.8,6.2,4.6,5.0,5.6,0.0,0.0,0.0,181.84214642857143,0.10022841785714286,1.1135857142857142,0.0,2.465207142857143,0.30350535714285715,13.071428571428571,0.6863033873343152,0.2437703141928494,0.07142857142857142,0.3208561510134743,0.0,0.0,-1.081591355567969,0.09785459285714285,0.0,0.0,56.0,-0.1231041685587141
Harder,mid,LDL,2,39,0.333,Anyone's Legend|Anyone's Legend.Young,48.2,70.2,51.8,57.4,43.8,55.4,4.8,7.0,5.2,5.7,4.4,5.5,0.0,0.0,0.0,501.2193846153846,0.27703266666666665,8.672879487179488,0.0,1.0566794871794871,0.2748230769230769,5.384615384615385,0.7058823529411765,0.15262321144674085,0.9487179487179487,0.20426366086743444,0.0,0.0,-0.9589299625219333,0.24335894871794872,0.0,0.0,39.0,-0.2823795272705063
Demon,top,LDL,2,61,0.426,Team WE|Team WE Academy,56.0,64.0,47.4,51.4,50.1,55.3,5.6,6.4,4.7,5.1,5.0,5.5,0.0,0.0,0.0,517.8684049180328,0.2624182901639344,7.728216393442623,0.0,0.9853688524590164,0.19228688524590162,5.213114754098361,0.5923645320197044,0.23825503355704697,3.1639344262295084,0.1839697567900668,0.0,0.0,-1.1472972398536259,0.22972726229508197,0.0,0.0,61.0,-0.11876090444084543
Asura,bot,LDL,2,38,0.553,Qing Jiu E-sport Club|Royal Club,56.4,61.5,54.8,42.2,56.9,55.3,5.6,6.2,5.5,4.2,5.7,5.5,0.0,0.0,0.0,614.334255263158,0.2921452105263158,9.662178947368421,0.0,1.3005973684210526,0.32040526315789475,2.6842105263157894,0.6139705882352942,0.16701461377870563,3.1842105263157894,0.18746227563932868,0.0,0.0,-0.8641633295649185,0.27392413157894735,0.0,0.0,38.0,0.453691275167785
1xn,bot,LDL,2,58,0.569,JD Gaming|Joy Dream,57.3,63.1,48.9,46.4,53.5,55.3,5.7,6.3,4.9,4.6,5.3,5.5,0.0,0.0,0.0,660.8641362068965,0.27622763275862067,9.108056896551723,0.0,1.210908620689655,0.34151724137931033,3.913793103448276,0.6543624161073825,0.17804551539491298,3.5689655172413794,0.186020451640392,-0.14093866171003724,-0.4144981412639406,-0.8828869120720791,0.2690934137931034,0.0,0.0,58.0,-0.22944044962393595
Xhow,jng,LDL,2,22,0.409,Weibo Gaming Youth Team,48.4,58.2,76.2,49.0,44.3,55.0,4.8,5.8,7.6,4.9,4.4,5.5,0.0,0.0,0.0,313.29474090909093,0.14244876818181818,5.215245454545454,0.0,1.3467590909090907,0.36902272727272734,10.590909090909092,0.677536231884058,0.23452768729641693,8.681818181818182,0.4105486425339366,0.0,0.0,-0.6737565412438971,0.1742047272727273,0.0,0.0,22.0,-0.33857361963190186
Eisley,bot,LDL,2,36,0.389,Rare Atom Period|Team Pinnacle,51.9,71.7,45.2,52.7,41.5,54.9,5.2,7.2,4.5,5.3,4.2,5.5,0.0,0.0,0.0,569.3649944444445,0.2785287777777778,8.904575000000001,0.0,1.4424388888888888,0.4226111111111111,4.222222222222222,0.720164609053498,0.19888475836431227,2.5555555555555554,0.1485830803119605,0.0,0.0,-1.0557103095422773,0.2661558333333333,0.0,0.0,36.0,-0.2814231155254892
Ever,bot,LDL,2,76,0.224,Shu Dai Xiong Gaming,52.1,63.0,56.3,45.5,55.2,54.9,5.2,6.3,5.6,4.5,5.5,5.5,0.0,0.0,0.0,543.4114328947369,0.29348718421052633,9.357425000000001,0.0,1.1732486842105263,0.36534210526315786,4.105263157894737,0.6797814207650273,0.17956656346749225,2.210526315789474,0.26591027077059287,0.0,0.0,-1.0472763155387954,0.2891703552631579,0.0,0.0,76.0,-0.2831319341389302
