player_id,position,league,tier,games,winrate,操作,运营,心态,指挥,体质,适应力,总评,逆风局数,翻盘率,英雄池,_boxz,_impz,_resid,teams,年龄
Smeb,top,LCK,1,115,0.739,73.2,56.4,55.6,66.9,51.8,65.1,75.1,9,0.222,22,0.492,2.701,1.919,ROX Tigers,21
Faker,mid,LCK,1,147,0.694,70.2,56.7,61.5,62.1,51.7,61.7,75.0,20,0.2,28,0.451,2.67,1.91,SK Telecom T1,20
Peanut,jng,LCK,1,115,0.739,67.4,57.2,57.5,60.7,60.4,58.7,74.8,9,0.222,11,0.364,2.701,2.055,ROX Tigers,18
Deft,bot,LPL,1,72,0.792,67.4,56.7,55.9,62.8,40.7,62.0,74.7,5,0.2,10,0.275,2.742,2.108,EDward Gaming,20
Ziv,top,LMS,15,79,0.759,64.7,58.8,56.1,66.4,48.1,53.7,74.7,8,0.25,16,0.318,2.697,2.751,ahq eSports Club,20
PraY,bot,LCK,1,115,0.739,65.0,52.0,58.2,73.3,57.2,61.8,74.5,9,0.222,12,0.224,2.701,2.118,ROX Tigers,22
Bang,bot,LCK,1,148,0.689,71.4,56.5,62.3,59.8,44.3,53.0,74.4,21,0.19,13,0.466,2.486,1.691,SK Telecom T1,20
GorillA,sup,LCK,1,115,0.739,64.8,51.9,55.0,71.5,46.3,60.6,74.3,9,0.222,14,0.164,2.701,2.063,ROX Tigers,22
Albis,sup,LMS,15,79,0.759,55.5,57.4,53.0,77.1,48.7,46.2,73.9,8,0.25,10,0.017,2.697,3.041,ahq eSports Club,23
Clearlove,jng,LPL,1,72,0.792,50.3,59.1,62.7,77.7,42.5,70.5,73.9,5,0.2,12,-0.028,2.742,2.47,EDward Gaming,23
Meiko,sup,LPL,1,72,0.792,52.5,56.3,60.0,60.8,39.2,53.0,73.9,5,0.2,8,-0.032,2.742,2.273,EDward Gaming,18
Kuro,mid,LCK,1,94,0.755,53.5,58.4,57.7,63.8,48.9,61.8,73.4,8,0.25,22,0.045,2.54,2.165,ROX Tigers,13
Duke,top,LCK,1,143,0.685,64.7,56.7,58.3,71.5,48.4,51.3,73.2,20,0.2,18,0.227,2.329,1.812,SK Telecom T1,22
