player_id,position,league,tier,games,winrate,behind_games,comeback_rate,champ_pool,操作,运营,心态,体质,适应力,teams,f_gd15,f_xd15,f_cd15,f_dpm,f_dmgshare,f_multi,f_vspm,f_wcpm,f_kp,f_deathshare,f_ejg,f_dmgmit,f_gspd,f_comeback,f_hold,f_clutch,f_endurance,f_sameday,f_pool,f_indep,f_patchstab,z_操作,z_运营,z_心态,z_体质,z_适应力
Cupcake,sup,OPL,15,59,0.644,12,0.25,17,74.0,63.2,60.9,54.6,64.7,Legacy Esports,310.77966101694915,347.6949152542373,3.542372881355932,266.11935762711863,0.11918744576271187,0.11864406779661017,1.0643898305084745,0.40305084745762715,0.7576767283755642,0.15703011676215475,0.4576271186440678,225.69045762711863,0.0,0.25,0.47627745126689824,0.33780094316207493,-0.0004897198096080491,3.2486157253599113,2.213211486674006,-0.3559322033898305,-0.3255309882677847,1.2581940766314121,0.44850537893859765,0.31414605385134986,-0.01875677237632002,0.5375926734597033
Hakuho,sup,NA LCS,1,110,0.4,15,0.0,13,73.2,63.7,49.6,54.3,45.2,Team EnVyUs,174.9090909090909,175.03636363636363,-1.1454545454545455,255.19084181818184,0.13264194818181818,0.045454545454545456,1.4197681818181818,0.50253,0.6654019176534105,0.1595731903197303,0.5181818181818182,149.49282363636362,0.0,0.0,0.37542377878010674,-0.01787972357006333,0.15350384321481553,2.8252414252414253,1.23950136601927,-0.5363636363636364,-0.3446737546710797,1.1731146281292744,0.47486444937134287,-0.29056400265933086,-0.039121520948080905,-0.5385507741849899
Meiko,sup,LPL,1,66,0.621,1,0.0,15,68.9,67.8,47.1,51.4,62.6,EDward Gaming,201.5,326.5,-1.1666666666666667,235.08058,0.11338024153846155,0.0,2.2959333333333336,0.44772307692307695,0.7718782961396797,0.1837631227073975,0.4307692307692308,188.61258333333333,0.0,0.0,0.2873563218390805,-0.5388357714787662,0.013441404930766563,2.4871794871794872,1.8463723646899908,-0.4090909090909091,-0.2527628249861785,0.8102175992093039,0.732908115199947,-0.4306750177319153,-0.1883142989422978,0.4114018212484033
Scout,mid,LPL,1,66,0.621,1,0.0,18,72.5,63.3,43.3,53.6,62.2,EDward Gaming,857.6666666666666,424.3333333333333,6.333333333333333,604.34374,0.2905711846153846,0.030303030303030304,1.1407666666666667,0.2351723076923077,0.7114939977594756,0.23069832688954783,8.076923076923077,545.3021833333333,0.0,0.0,0.11083743842364531,-0.6287350882060153,0.15489067089374792,1.0540540540540544,2.215646837627989,-0.3939393939393939,-0.2888967530960791,1.1006316903543933,0.4534805593853671,-0.6603132409209618,-0.07608705507694621,0.3878514343772494
Rekkles,bot,EU LCS,1,106,0.613,13,0.154,14,65.8,68.0,58.5,56.7,62.1,Fnatic,214.9056603773585,30.69811320754717,4.773584905660377,554.7926216981132,0.28216924056603776,0.7169811320754716,0.7554245283018868,0.3314650943396226,0.6969662114482926,0.1174919571484728,5.886792452830188,118.34680849056605,0.0,0.15384615384615385,0.5765389295800519,-0.07065543528993398,0.05246402093327499,3.442577996715928,1.3598002073001698,-0.44339622641509435,-0.2192893272826747,0.6056257529762762,0.7468241692631372,0.18491473544274747,0.0898647246334681,0.38053065540468634
Levi,jng,MSI,1,46,0.587,9,0.111,12,77.9,55.9,53.7,48.2,53.7,GAM Esports,545.9565217391304,591.5652173913044,11.217391304347826,429.5968673913044,0.1996027347826087,0.6956521739130435,0.4272608695652174,0.31368695652173917,0.6802280661953639,0.14757830422632212,38.06521739130435,225.31397826086956,0.0,0.1111111111111111,0.21148191430435775,0.08338974412066874,-0.31131358247606383,2.6812156645603977,1.7693034738587656,-0.6304347826086957,-0.4136996488581961,1.8155035267126354,0.04520154031433829,-0.06917324278642065,-0.3676898681614511,-0.06636583309764331
Khan,top,LCK,1,65,0.692,4,0.0,18,67.5,66.2,47.3,52.2,63.2,Longzhu Gaming,174.4,5.415384615384616,1.5384615384615385,505.9111461538461,0.24832363076923075,0.3230769230769231,1.28196,0.18453692307692307,0.6314590339242948,0.24493125643567568,18.16923076923077,735.5866815384616,0.0,0.0,0.15016489988221438,0.0752265959883513,-0.05584016965232449,2.5316416040100247,2.232625222605752,-0.47692307692307695,-0.15956534161413927,0.7155592371919898,0.6258197612242717,-0.4194874514391235,-0.1481171464389125,0.4471699146769404
Smeb,top,LCK,1,118,0.636,7,0.143,18,74.4,58.8,51.6,66.8,52.8,KT Rolster,392.4830508474576,206.40677966101694,6.966101694915254,486.36462033898306,0.23867882033898305,0.288135593220339,0.6242042372881356,0.15464745762711865,0.6443732809751376,0.25383961098437163,12.016949152542374,454.2612372881356,0.0,0.14285714285714285,0.31975034889011716,-0.48938144288667984,0.5291941307012021,5.756209150326797,1.6570343122169822,-0.4152542372881356,-0.3497441331205465,1.2948511068551032,0.20095805515614187,-0.18090778135537014,0.6655408771920791,-0.11598033051813597
Uzi,bot,LPL,1,56,0.732,3,0.333,13,65.0,68.2,62.5,58.3,69.0,Royal Never Give Up,43.4,78.8,3.466666666666667,630.2560857142856,0.3232199107142857,0.30357142857142855,1.2481333333333333,0.33239285714285716,0.709375492621291,0.15507283354505577,6.964285714285714,337.38192,0.0,0.3333333333333333,0.810126582278481,-0.530379746835443,0.15309734513274328,2.8952380952380956,1.7371980724307585,-0.39285714285714285,-0.18232067919501949,0.5519077130767636,0.7596980148728925,0.4077627501576738,0.17570730591958522,0.8154396714792266
Olleh,sup,NA LCS,1,103,0.553,17,0.059,15,72.2,60.9,49.8,45.5,53.3,Immortals,155.3106796116505,201.8640776699029,2.1067961165048543,240.1769844660194,0.11675294077669902,0.02912621359223301,1.5560864077669905,0.4554097087378641,0.6811423479666013,0.21607751675438433,0.6310679611650486,199.59036019417476,0.0,0.058823529411764705,0.3948532307763594,-0.6072139143829022,-0.2229673405733549,2.0210526315789474,1.4779939172464398,-0.44660194174757284,-0.32073847440838504,1.0743852959377662,0.3155695751335857,-0.2763882024804473,-0.5201954438563775,-0.0917774151854655
