player_id,position,league,tier,games,impact_raw,impact_z,impact_100
Wolf,sup,LCK,1,138,0.2615,2.905,80.8
Jirall,top,LLN,2,81,0.2584,2.871,80.7
Oddie,jng,LLN,2,81,0.2584,2.871,80.7
Seiya,mid,LLN,2,81,0.2584,2.871,80.7
Bang,bot,LCK,1,141,0.2516,2.795,80.6
Faker,mid,LCK,1,141,0.2516,2.795,80.6
Genthix,sup,LLN,2,77,0.2473,2.746,80.6
WhiteLotus,bot,LLN,2,77,0.2464,2.736,80.6
Betty,bot,LMS,2,90,0.2242,2.489,80.1
Crown,mid,LCK,1,121,0.2219,2.464,80.1
CuVee,top,LCK,1,121,0.2219,2.464,80.1
MMD,top,LMS,2,88,0.2136,2.371,79.9
Killua,sup,LSPL,2,114,0.2066,2.294,79.7
Ruler,bot,LCK,1,111,0.1997,2.217,79.5
CoreJJ,sup,LCK,1,112,0.1897,2.106,79.1
Letme,top,LPL,1,81,0.1887,2.095,79.1
Alone,bot,LSPL,2,82,0.1886,2.093,79.1
Maple,mid,LMS,2,94,0.1878,2.085,79.0
SwordArt,sup,LMS,2,94,0.1878,2.085,79.0
Bdd,mid,LCK,1,67,0.1846,2.048,78.9
Khan,top,LCK,1,65,0.1837,2.039,78.9
Ming,sup,LPL,1,84,0.1802,2.0,78.7
Xiaohu,mid,LPL,1,84,0.1802,2.0,78.7
Ning,jng,LSPL,2,93,0.18,1.998,78.7
Cuzz,jng,LCK,1,57,0.1769,1.963,78.6
Ambition,jng,LCK,1,75,0.1761,1.954,78.5
Bvoy,bot,LSPL,2,121,0.1693,1.879,78.2
Clowz,top,LSPL,2,121,0.1693,1.879,78.2
957,top,LPL,1,97,0.1652,1.833,78.0
Uzi,bot,LPL,1,56,0.1652,1.833,78.0
Nappon,jng,CBLOL,2,46,0.165,1.831,78.0
Robo,top,CBLOL,2,46,0.165,1.831,78.0
Knight,mid,LSPL,2,113,0.1636,1.815,77.9
Mithy,sup,EU LCS,1,120,0.1626,1.805,77.8
Zven,bot,EU LCS,1,120,0.1626,1.805,77.8
Broxah,jng,EU LCS,1,104,0.1622,1.799,77.8
Soul,top,CK,2,85,0.1591,1.765,77.6
Biofrost,sup,NA LCS,1,127,0.159,1.764,77.6
Bjergsen,mid,NA LCS,1,127,0.159,1.764,77.6
Hauntzer,top,NA LCS,1,127,0.159,1.764,77.6
Svenskeren,jng,NA LCS,1,127,0.159,1.764,77.6
Impact,top,NA LCS,1,95,0.1557,1.728,77.4
Deft,bot,LCK,1,118,0.1545,1.713,77.4
Mata,sup,LCK,1,118,0.1545,1.713,77.4
PawN,mid,LCK,1,118,0.1545,1.713,77.4
Score,jng,LCK,1,118,0.1545,1.713,77.4
Smeb,top,LCK,1,118,0.1545,1.713,77.4
Candy,mid,CK,2,83,0.1514,1.68,77.2
Winged,jng,CK,2,83,0.1514,1.68,77.2
