player_id,position,league,tier,games,winrate,操作,意识,心态,团队,体质,总评,box_综合,impact,final_z,teams
10ng,mid,LDL,2,36,0.556,44.7,58.3,46.8,51.8,42.5,49.5,50.7,57.3,-0.254,Top Esports Challenger
Sero,top,LAS,3,33,0.545,43.6,46.8,42.1,71.8,50.4,49.5,50.5,57.8,-0.254,KT Rolster Academy
zorenous,top,LCO,15,46,0.457,50.3,58.0,39.9,48.4,42.4,49.4,56.4,43.2,-0.255,Dire Wolves
Zaki,sup,HC,3,30,0.567,43.9,53.4,49.9,50.1,53.0,49.4,54.0,48.7,-0.257,IKISEQ|IKISEQ Gaming
Draptix,top,LFL2,2,21,0.476,39.3,47.4,71.5,57.7,38.7,49.4,53.6,49.7,-0.256,Atletec
Dehaste,mid,PGN,3,50,0.52,53.2,44.9,51.5,43.5,55.0,49.4,52.3,53.0,-0.257,SK Gaming Prime|aNc Outplayed
Septico1,top,EBL,3,22,0.364,51.8,39.1,69.8,43.1,47.0,49.4,50.7,57.2,-0.256,42 Gaming|Nexus KTRL
Koba,bot,LFL2,2,25,0.48,55.4,47.9,39.6,59.3,37.4,49.4,49.3,60.8,-0.256,BK ROG Esports
Biofrost,sup,LCS,1,46,0.326,42.6,58.2,54.4,55.5,31.6,49.3,60.4,36.2,-0.263,Dignitas
Eyhro,mid,NLC,2,36,0.361,45.0,57.3,49.5,49.8,41.6,49.3,54.0,48.5,-0.263,NYYRIKKI
Lospa,sup,LCKC,2,77,0.506,40.8,47.5,48.0,59.8,62.5,49.3,52.1,53.4,-0.262,Gen.G|Gen.G Global Academy
Clever9,top,LDL,2,23,0.435,48.0,56.2,44.5,53.3,38.1,49.3,50.2,58.4,-0.26,LNG Academy
Missia,sup,LDL,2,58,0.569,48.6,45.6,57.1,47.4,51.2,49.3,47.2,65.6,-0.26,Ultra Prime Academy
Gloryy,mid,VCS,15,81,0.432,52.4,48.0,47.8,39.2,58.7,49.2,61.0,35.4,-0.266,Burst The Sky Esports|Team Whales
Cospect,sup,PGN,3,52,0.5,42.4,60.3,41.2,49.4,52.6,49.2,53.8,48.9,-0.265,Atleta Esport|Goskilla
Kireas,jng,TCL,15,49,0.531,48.9,55.2,41.6,50.7,44.6,49.2,51.6,54.5,-0.268,5 Ronin|SuperMassive Blaze
Shy Carry,bot,EBL,3,41,0.585,46.5,46.2,51.7,49.2,59.3,49.2,47.6,64.5,-0.266,Diamant Esports
Nazgul,top,ESLOL,3,26,0.577,47.9,44.1,53.3,56.5,48.2,49.2,46.1,67.7,-0.267,Ion Squad|Partizan Esports
XERSUS,sup,LFL2,2,41,0.317,35.6,63.2,50.1,58.4,38.3,49.1,57.8,40.1,-0.27,beGenius ESC
Grzybek,top,UL,2,56,0.446,40.4,53.0,46.9,59.8,51.0,49.1,56.8,41.9,-0.273,Gentlemen's Gaming
Ranger,jng,CBLOL,15,36,0.472,47.9,54.9,51.1,47.1,39.5,49.1,55.4,45.0,-0.27,FURIA|Flamengo MDL|LØS
1Curioso,jng,SL (LATAM),3,42,0.476,47.8,49.6,47.2,55.2,45.7,49.1,54.2,47.8,-0.271,Instinct Gaming|Maze Gaming
Ariana,mid,UL,2,46,0.478,52.2,39.2,53.1,52.8,53.0,49.1,53.7,48.9,-0.273,Gentlemen's Gaming
Dargus,bot,LHE,2,36,0.333,37.8,50.5,61.3,57.7,46.3,49.1,52.0,53.3,-0.271,Maze Gaming
Draktharr,jng,VCS,15,64,0.422,60.6,36.2,50.8,37.2,60.8,49.0,60.7,35.6,-0.278,Burst The Sky Esports|CERBERUS Esports
Keaiduo,mid,LCSA,2,26,0.346,57.5,45.0,44.7,42.3,51.3,49.0,54.8,46.1,-0.277,TSM|TSM Academy
RonOP,sup,VCS,15,43,0.488,36.2,49.1,65.9,55.0,50.3,49.0,51.1,55.6,-0.273,CERBERUS Esports
Marzo,bot,HC,3,30,0.467,42.7,51.2,51.7,55.9,46.0,48.9,53.8,48.5,-0.279,Inside Games|Inside Games Challengers
Goku,mid,CBLOL,15,24,0.292,45.0,52.7,59.6,47.8,37.9,48.9,53.0,50.4,-0.281,Rensga eSports
Ploxy,jng,PGN,3,39,0.538,49.2,47.0,43.8,53.9,52.5,48.9,52.0,53.0,-0.279,Cyberground Gaming|aNc Outplayed
redwall,top,LDL,2,30,0.567,61.9,50.0,41.5,38.5,38.1,48.9,49.0,60.7,-0.281,JD Gaming|Joy Dream
OmulFinn,jng,ESLOL,3,23,0.391,52.1,44.2,58.2,45.8,42.1,48.8,55.0,45.4,-0.285,DMG Esports|GTZ Esports|Team 7AM
Lwx,bot,LPL,1,95,0.474,48.1,49.9,45.4,45.7,56.9,48.8,50.7,56.3,-0.284,FunPlus Phoenix
Cape,jng,TAL,3,30,0.5,45.8,45.8,57.7,49.4,50.1,48.8,50.1,57.7,-0.286,Galakticos Academy
Beige,jng,LDL,2,56,0.446,39.4,51.6,57.3,54.9,46.2,48.7,54.3,47.0,-0.288,Invictus Gaming Young|Team Pinnacle
RTeks,sup,NEXO,3,22,0.545,73.8,36.8,42.6,34.9,38.0,48.7,51.4,54.2,-0.291,Bis Esports
MxDragon,jng,PGN,3,47,0.553,45.9,44.7,54.8,49.0,55.8,48.7,48.2,62.4,-0.29,Atleta Esport
F4rg,top,LPLOL,3,35,0.457,56.4,40.8,50.0,45.0,49.3,48.6,57.1,40.8,-0.295,OFFSET Esports
HamBak,jng,LCKC,2,74,0.405,41.0,55.6,44.1,53.1,52.6,48.6,56.9,41.2,-0.295,Liiv SANDBOX|Liiv SANDBOX Youth
Alan,mid,LFL2,2,45,0.489,55.8,51.2,37.4,47.2,41.7,48.6,54.0,47.5,-0.294,Lille Esport
Algos,sup,TAL,3,22,0.545,46.4,50.6,43.2,52.2,52.1,48.6,51.6,53.6,-0.293,Beşiktaş Academy|Beşiktaş Esports|İstanbul Wildcats Academy
Shockey,top,UPL,2,20,0.4,51.2,37.6,73.7,41.6,41.7,48.6,50.9,55.4,-0.292,Area of Effect Pump|Area of Effect Rise|ImPerium Vancuverii|Team Zoose
Zemnas,top,CBLOLA,3,40,0.45,50.9,48.1,45.9,46.5,49.3,48.5,53.0,49.9,-0.297,FURIA Youth
Snaker,bot,LLA,15,32,0.531,51.8,43.1,47.4,46.5,55.8,48.5,52.0,52.4,-0.298,inf
Satorius,top,LVP SL,2,43,0.465,46.3,49.3,45.0,60.4,40.9,48.5,51.5,53.6,-0.301,BK ROG Esports|Team Heretics
Athyz,jng,GL,3,61,0.557,51.4,44.5,45.4,44.9,58.4,48.5,50.8,55.4,-0.301,Braves Rising
Iwandy,sup,LPL,1,33,0.545,47.8,62.3,36.2,47.8,37.9,48.5,50.5,56.2,-0.3,LNG Esports|Team WE
Jauny,top,LLA,15,41,0.488,35.8,51.6,61.2,52.1,51.2,48.4,53.2,49.1,-0.305,inf
Celebrity,bot,VCS,15,71,0.507,54.3,41.3,43.9,43.6,61.0,48.4,49.8,57.8,-0.306,SBTC Esports
Wojtus,sup,UL,2,73,0.534,42.8,43.8,49.8,54.9,61.6,48.4,49.3,59.2,-0.304,Zero Tenacity
Elated,top,UPL,2,21,0.524,42.6,54.1,46.7,58.8,38.4,48.3,49.3,59.0,-0.311,Last Resistance
shochi,mid,PGC,2,66,0.576,55.9,42.9,40.5,49.8,49.6,48.3,48.9,60.0,-0.31,Immortals Area of Effect|Taco Gaming
DoRun,top,CBLOL,15,42,0.429,41.5,63.7,34.3,56.6,38.5,48.2,57.0,40.5,-0.316,Miners
Ucal,mid,LPL,1,85,0.447,44.3,48.8,53.1,41.8,58.6,48.2,55.9,42.6,-0.314,ThunderTalk Gaming
Witek,jng,UL,2,20,0.4,50.7,36.9,53.2,51.9,55.1,48.2,55.3,43.9,-0.314,Komil & Friends
Champen,top,HM,3,20,0.3,63.3,42.9,46.9,38.6,36.2,48.2,53.5,48.1,-0.311,Dark Tigers|Viperio
Citrus,jng,LCKC,2,50,0.46,39.8,52.6,49.6,53.7,50.3,48.2,52.5,50.5,-0.316,DN SOOPers Challengers
Elk,bot,LPL,1,93,0.398,46.8,51.5,55.6,42.1,42.3,48.1,60.5,35.2,-0.321,Bilibili Gaming|Ultra Prime
Climber,jng,LDL,2,36,0.361,41.2,58.3,50.6,49.9,37.9,48.1,54.9,44.7,-0.318,V5 87
Biob,sup,VCS,15,44,0.341,55.2,45.9,47.6,45.5,39.6,48.1,53.8,47.2,-0.319,Genius Esports
NiuNai,jng,NEXO,3,23,0.522,36.9,50.8,69.1,47.6,42.7,48.1,53.3,48.4,-0.319,Kawaii Kiwis
iso,bot,LHE,2,28,0.571,44.1,48.7,55.9,52.5,40.7,48.1,50.5,55.6,-0.317,Newstar
Palafox,mid,LCS,1,65,0.523,54.2,41.4,48.8,46.6,48.6,48.1,48.6,60.4,-0.321,CLG Academy|Counter Logic Gaming
Lava,mid,LCK,1,87,0.368,51.2,54.4,35.4,51.1,39.1,48.0,59.9,35.8,-0.323,HANJIN BRION
Pseudo,sup,PGC,2,46,0.522,63.1,35.2,53.9,39.0,42.3,48.0,58.6,37.6,-0.324,Supernova|Team Ambition
