player_id,position,league,tier,games,winrate,操作,运营,心态,指挥,体质,适应力,总评,逆风局数,翻盘率,英雄池,_boxz,_impz,_resid,teams,年龄
Oddie,jng,LLN,15,81,0.852,72.7,55.6,79.6,62.0,51.6,67.7,76.2,8,0.75,17,0.812,2.871,2.256,Lyon Gaming,20
Seiya,mid,LLN,15,81,0.852,65.6,58.4,78.7,71.1,48.4,68.4,75.8,8,0.75,21,0.587,2.871,2.78,Lyon Gaming,21
WhiteLotus,bot,LLN,15,77,0.857,72.2,54.3,74.4,69.8,65.8,62.9,75.6,8,0.75,13,0.644,2.736,2.435,Lyon Gaming,21
Bang,bot,LCK,1,141,0.688,67.4,53.7,70.5,69.5,40.3,47.7,75.2,24,0.417,14,0.4,2.795,2.523,SK Telecom T1,21
Wolf,sup,LCK,1,138,0.696,54.3,61.1,72.0,80.2,35.9,54.9,75.2,22,0.455,18,0.259,2.905,2.459,SK Telecom T1,27
Genthix,sup,LLN,15,77,0.857,63.7,56.1,75.9,80.5,58.8,65.1,75.1,8,0.75,16,0.427,2.746,2.438,Lyon Gaming,27
Faker,mid,LCK,1,141,0.688,58.2,59.7,72.2,71.5,41.6,59.6,75.0,24,0.417,23,0.323,2.795,2.418,SK Telecom T1,21
Jirall,top,LLN,15,81,0.852,53.4,56.0,76.4,71.5,52.5,60.6,75.0,8,0.75,21,0.204,2.871,2.881,Lyon Gaming,21
Betty,bot,LMS,15,90,0.744,63.8,60.9,63.0,64.0,42.5,56.6,74.1,9,0.222,13,0.325,2.489,2.517,Flash Wolves,17
CuVee,top,LCK,1,121,0.669,59.1,60.2,49.0,66.7,47.4,47.6,73.4,13,0.077,16,0.123,2.464,2.225,Samsung Galaxy,21
Crown,mid,LCK,1,121,0.669,58.5,54.6,49.3,76.0,41.5,48.3,72.9,13,0.077,16,-0.02,2.464,2.431,Samsung Galaxy,22
Ruler,bot,LCK,1,111,0.685,63.7,60.3,52.0,61.2,48.3,48.9,72.8,13,0.077,11,0.256,2.217,2.01,Samsung Galaxy,19
Khan,top,LCK,1,65,0.692,67.5,66.2,47.3,61.7,58.9,63.2,72.5,4,0.0,18,0.403,2.039,1.482,Longzhu Gaming,21
CoreJJ,sup,LCK,1,112,0.679,60.4,64.7,50.9,70.4,46.3,49.7,72.3,13,0.077,14,0.262,2.106,1.647,Samsung Galaxy,23
Uzi,bot,LPL,1,56,0.732,65.0,68.2,62.5,78.5,67.4,69.0,72.1,3,0.333,13,0.546,1.833,1.214,Royal Never Give Up,26
SwordArt,sup,LMS,15,94,0.713,60.0,61.8,61.7,64.6,41.3,55.0,72.1,10,0.2,15,0.235,2.085,1.957,Flash Wolves,21
Maple,mid,LMS,15,94,0.713,61.1,58.8,65.3,63.3,38.4,56.4,72.1,10,0.2,18,0.228,2.085,2.285,Flash Wolves,20
Smeb,top,LCK,1,118,0.636,74.4,58.8,51.6,64.2,72.9,52.8,72.0,7,0.143,18,0.655,1.713,0.874,KT Rolster,22
Bdd,mid,LCK,1,67,0.687,62.7,67.2,45.9,59.5,40.2,45.4,72.0,5,0.0,10,0.25,2.048,1.669,Longzhu Gaming,18
Hauntzer,top,NA LCS,1,127,0.654,70.5,61.5,68.2,65.1,39.0,59.7,71.9,24,0.375,20,0.575,1.764,1.012,TSM,22
MMD,top,LMS,15,88,0.739,53.0,47.4,56.4,77.7,42.7,59.9,71.9,9,0.222,19,-0.185,2.371,2.762,Flash Wolves,23
Deft,bot,LCK,1,118,0.636,72.5,58.5,53.4,59.9,72.8,55.9,71.7,7,0.143,15,0.587,1.713,1.025,KT Rolster,21
Bjergsen,mid,NA LCS,1,127,0.654,68.3,59.0,69.2,63.6,52.1,60.5,71.7,24,0.375,22,0.511,1.764,1.064,TSM,21
Xiaohu,mid,LPL,1,84,0.69,51.6,66.6,67.6,59.2,57.2,55.5,71.7,3,0.333,17,0.23,2.0,1.638,Royal Never Give Up,19
Mystic,bot,LPL,1,99,0.636,69.1,63.5,67.1,64.7,49.4,59.4,71.5,6,0.5,14,0.615,1.65,0.917,Team WE,22
Letme,top,LPL,1,81,0.704,53.3,58.8,63.3,64.6,47.4,61.8,71.5,3,0.333,17,0.067,2.095,1.895,Royal Never Give Up,21
Zven,bot,EU LCS,1,120,0.642,66.8,59.2,50.5,56.4,55.5,55.8,71.4,17,0.176,13,0.391,1.805,1.364,G2 Esports,20
Nulu,mid,NA CS,2,44,0.682,70.4,61.9,64.5,58.1,45.4,58.7,71.2,6,0.333,14,0.599,1.603,1.392,FC Schalke 04 Esports|Tempo Storm,20
Jensen,mid,NA LCS,1,123,0.65,71.9,60.8,63.5,68.6,58.6,50.2,71.0,17,0.235,22,0.637,1.535,0.67,Cloud9,22
Score,jng,LCK,1,118,0.636,64.8,64.0,53.8,78.1,66.0,56.8,71.0,7,0.143,16,0.41,1.713,1.213,KT Rolster,25
Ambition,jng,LCK,1,75,0.693,58.8,59.0,50.2,79.2,47.8,54.0,71.0,9,0.111,12,0.115,1.954,1.858,Samsung Galaxy,25
Killua,sup,LSPL,2,114,0.754,51.5,49.2,42.6,72.8,49.5,55.7,71.0,0,0.0,15,-0.309,2.294,2.938,Rogue Warriors|Young Miracles,21
Alone,bot,LSPL,2,82,0.634,53.9,55.2,49.2,66.8,61.8,57.2,70.9,0,0.0,11,-0.075,2.093,2.489,QG Reapers|Young Glory,19
Ming,sup,LPL,1,84,0.69,48.5,58.6,63.6,55.6,49.4,66.9,70.8,3,0.333,19,0.02,2.0,1.785,Royal Never Give Up,19
Winged,jng,CK,2,83,0.747,62.7,59.9,65.6,79.7,67.0,54.9,70.7,7,0.286,12,0.386,1.68,1.842,CJ Entus,25
Candy,mid,CK,2,83,0.747,60.1,60.9,67.7,60.9,59.7,45.7,70.5,7,0.286,12,0.346,1.68,1.766,CJ Entus,19
Ning,jng,LSPL,2,93,0.699,57.3,54.8,45.2,68.3,54.0,54.5,70.5,0,0.0,13,-0.048,1.998,2.75,Invictus Gaming|Young Miracles,19
Knight,mid,LSPL,2,113,0.726,58.2,58.2,45.3,63.5,78.0,62.6,70.4,0,0.0,19,0.147,1.815,2.145,Suning|Young Miracles,17
xiye,mid,LPL,1,99,0.636,58.1,59.9,72.5,55.5,55.0,62.6,70.3,6,0.5,20,0.32,1.65,1.149,Team WE,20
Robo,top,CBLOL,15,46,0.717,57.9,57.0,57.8,58.9,51.2,61.0,70.3,4,0.25,19,0.107,1.831,1.867,RED Canids,19
Broxah,jng,EU LCS,1,104,0.654,55.3,58.8,57.1,58.1,70.7,46.7,70.1,13,0.231,12,0.098,1.799,1.692,Fnatic|Fnatic Academy,20
Karsa,jng,LMS,15,91,0.692,65.1,58.2,57.8,56.7,42.7,58.0,70.0,10,0.2,14,0.274,1.639,1.534,Flash Wolves|Royal Never Give Up,20
Cuzz,jng,LCK,1,57,0.702,48.0,61.3,51.3,61.4,50.6,47.7,70.0,4,0.0,8,-0.114,1.963,2.144,Longzhu Gaming,18
Soul,top,CK,2,81,0.753,55.4,53.3,66.9,67.8,60.0,57.4,70.0,6,0.333,18,0.121,1.765,1.774,CJ Entus,21
957,top,LPL,1,97,0.649,50.7,56.3,67.9,76.7,50.2,55.7,69.9,6,0.5,16,0.025,1.833,1.664,Team WE,24
Pure,sup,CK,2,81,0.741,62.8,61.3,69.9,68.9,64.1,54.9,69.8,7,0.286,14,0.473,1.438,1.221,CJ Entus,22
Expect,top,EU LCS,1,117,0.641,63.0,60.7,57.4,59.4,46.9,57.6,69.7,17,0.176,18,0.265,1.591,1.156,G2 Esports,21
Huni,top,LCK,1,90,0.678,68.0,49.8,67.4,51.6,36.5,59.8,69.7,15,0.4,22,0.3,1.569,1.096,SK Telecom T1,20
Impact,top,NA LCS,1,95,0.684,58.4,56.2,59.6,68.0,46.7,51.3,69.7,13,0.231,15,0.098,1.728,1.476,Cloud9,22
Bvoy,bot,LSPL,2,121,0.727,58.1,51.1,43.1,65.4,46.2,54.7,69.7,0,0.0,12,-0.088,1.879,2.277,Young Miracles,20
Shernfire,jng,OPL,15,60,0.7,69.7,55.9,51.1,54.8,65.6,60.5,69.6,9,0.111,13,0.375,1.497,1.282,Dire Wolves,19
Contractz,jng,NA LCS,1,123,0.65,63.9,57.0,60.3,53.7,66.4,66.9,69.6,17,0.235,17,0.315,1.535,1.113,Cloud9,18
Mata,sup,LCK,1,118,0.636,55.4,59.1,53.4,69.2,65.6,49.8,69.6,7,0.143,14,0.095,1.713,1.418,KT Rolster,23
Clowz,top,LSPL,2,121,0.727,51.8,56.6,48.9,64.2,46.8,60.3,69.6,0,0.0,20,-0.097,1.879,2.103,Young Miracles,20
Biofrost,sup,NA LCS,1,127,0.654,49.4,59.2,67.4,59.7,44.0,45.2,69.5,24,0.375,13,0.026,1.764,1.539,TSM,21
Diamondprox,jng,LCL,15,40,0.625,63.0,57.7,58.6,78.1,68.1,59.4,69.4,11,0.364,13,0.242,1.574,1.5,Gambit Esports,25
Veritas,bot,CK,2,78,0.744,65.6,61.5,69.9,71.1,60.0,54.9,69.3,6,0.333,11,0.521,1.317,1.046,CJ Entus,22
Sneaky,bot,NA LCS,1,123,0.65,61.9,57.4,60.7,80.3,62.7,56.4,69.3,17,0.235,14,0.257,1.535,1.204,Cloud9,29
PawN,mid,LCK,1,118,0.636,52.7,59.4,54.7,58.4,64.5,67.1,69.3,7,0.143,23,0.04,1.713,1.531,KT Rolster,20
Trick,jng,EU LCS,1,117,0.641,64.7,52.0,57.1,68.5,46.9,63.0,69.2,17,0.176,16,0.181,1.591,1.342,G2 Esports,22
Nappon,jng,CBLOL,15,46,0.717,48.2,55.5,58.8,75.3,50.0,60.6,69.2,4,0.25,13,-0.132,1.831,2.155,RED Canids,23
Mithy,sup,EU LCS,1,120,0.642,50.9,52.0,57.7,70.6,70.4,63.0,69.2,17,0.176,19,-0.081,1.805,1.689,G2 Esports,23
Perkz,mid,EU LCS,1,117,0.641,64.6,52.0,54.4,56.5,45.5,60.6,69.1,17,0.176,20,0.146,1.591,1.278,G2 Esports,19
brTT,bot,CBLOL,15,38,0.737,65.2,51.7,57.5,80.3,73.7,67.2,68.9,4,0.25,13,0.213,1.513,1.521,RED Canids,26
Mlxg,jng,LPL,1,74,0.689,50.8,61.6,61.1,64.2,41.5,65.9,68.9,3,0.333,15,0.04,1.657,1.591,Royal Never Give Up,21
Svenskeren,jng,NA LCS,1,127,0.654,49.2,47.5,71.0,66.1,43.3,52.7,68.9,24,0.375,13,-0.1,1.764,1.888,TSM,21
Zeitnot,bot,TCL,15,82,0.671,68.5,54.4,57.0,69.4,39.9,53.2,68.8,12,0.25,12,0.29,1.422,1.327,Papara SuperMassive,22
Mountain,jng,LMS,15,82,0.646,68.6,57.1,61.9,65.8,46.9,47.1,68.7,15,0.267,11,0.425,1.308,1.033,ahq eSports Club,22
Peanut,jng,LCK,1,108,0.667,59.8,60.0,61.3,54.7,39.0,52.9,68.7,13,0.231,15,0.181,1.508,1.242,Longzhu Gaming|SK Telecom T1,19
Scout,mid,LPL,1,66,0.621,72.5,63.3,43.3,50.7,58.0,62.2,68.6,1,0.0,18,0.484,1.233,0.505,EDward Gaming,19
Cupcake,sup,OPL,15,59,0.644,74.0,63.2,60.9,65.2,57.7,64.7,68.5,12,0.25,17,0.711,1.038,0.397,Legacy Esports,23
Meiko,sup,LPL,1,66,0.621,68.9,67.8,47.1,46.5,48.5,62.6,68.5,1,0.0,15,0.469,1.233,0.552,EDward Gaming,19
Condi,jng,LPL,1,99,0.636,46.1,57.2,69.9,64.7,49.1,55.2,68.5,6,0.5,14,-0.032,1.65,1.669,Team WE,21
Rekkles,bot,EU LCS,1,106,0.613,65.8,68.0,58.5,55.8,67.4,62.1,68.4,13,0.154,14,0.519,1.187,0.484,Fnatic,21
Doublelift,bot,NA LCS,1,80,0.625,62.1,63.1,75.5,71.1,64.6,60.0,68.4,12,0.583,14,0.547,1.158,0.416,TSM|Team Liquid,24
Chippys,top,OPL,15,67,0.687,66.8,53.6,51.5,62.0,52.5,61.9,68.4,11,0.091,19,0.225,1.415,1.292,Dire Wolves,
Richard,mid,OPL,15,66,0.682,69.3,54.4,52.6,67.4,62.4,58.1,68.3,11,0.091,17,0.347,1.311,1.252,Dire Wolves,22
Upset,bot,EU CS,2,41,0.732,61.4,61.8,58.9,58.8,48.9,60.3,68.3,5,0.2,12,0.287,1.356,1.334,FC Schalke 04 Esports,18
Ziv,top,LMS,15,82,0.646,63.3,63.9,57.8,60.4,44.4,54.9,68.2,15,0.267,17,0.327,1.308,1.067,ahq eSports Club,21
Chawy,mid,LMS,15,44,0.75,55.9,61.6,56.6,79.4,50.8,45.4,68.2,8,0.375,9,0.129,1.466,1.683,ahq eSports Club,26
Smoothie,sup,NA LCS,1,123,0.65,49.3,59.2,61.2,52.2,57.1,58.6,67.9,17,0.235,16,-0.01,1.535,1.344,Cloud9,20
GorillA,sup,LCK,1,112,0.589,65.6,52.5,46.6,66.6,71.4,57.7,67.8,12,0.0,18,0.184,1.358,0.968,Longzhu Gaming,23
Jaeger,top,EU CS,2,41,0.732,62.8,55.2,59.4,64.9,42.1,63.5,67.8,5,0.2,17,0.194,1.356,1.298,FC Schalke 04 Esports,21
destiny,sup,OPL,15,67,0.687,59.1,59.4,49.4,54.6,62.1,51.5,67.7,11,0.091,13,0.104,1.415,1.405,Dire Wolves,20
chel1y,bot,LSPL,2,63,0.635,55.2,58.2,45.1,62.6,58.4,57.8,67.7,0,0.0,11,-0.031,1.528,1.848,Game Talents|Oh My God,19
Dioud,sup,CBLOL,15,34,0.765,53.6,54.8,49.0,80.0,42.6,50.4,67.7,2,0.0,11,-0.1,1.576,1.779,RED Canids,27
viviD,sup,LJL,15,56,0.696,63.4,55.4,57.2,72.9,58.9,58.3,67.6,5,0.2,16,0.304,1.24,1.021,DetonatioN FocusMe,24
k1ng,bot,OPL,15,67,0.687,58.9,58.6,46.5,57.0,53.6,58.1,67.6,11,0.091,13,0.094,1.415,1.545,Dire Wolves,19
FoFo,mid,LMS,15,72,0.583,66.6,61.6,56.1,53.4,42.4,59.5,67.5,7,0.143,17,0.428,1.12,0.937,J Team,18
PraY,bot,LCK,1,112,0.589,63.7,51.9,43.7,70.8,78.5,48.3,67.4,12,0.0,13,0.121,1.358,1.155,Longzhu Gaming,23
Levi,jng,MSI,1,46,0.587,77.9,55.9,53.7,58.2,36.7,53.7,67.3,9,0.111,12,0.721,0.857,-0.192,GAM Esports,22
Fix,bot,CLS,15,35,0.657,66.2,59.6,64.8,59.0,66.1,46.7,67.3,7,0.429,8,0.435,1.079,0.765,Bencheados|Kaos Latin Gamers,21
Blank,jng,LCK,1,43,0.721,46.8,64.1,72.7,54.2,33.3,56.2,67.3,12,0.583,11,0.093,1.367,1.178,SK Telecom T1,17
Moyashi,bot,LJL,15,68,0.662,62.0,63.6,66.1,72.0,43.3,52.5,67.2,8,0.375,11,0.418,1.086,0.792,Rampage,23
An,bot,LMS,15,80,0.65,55.2,58.7,60.4,74.7,35.4,57.6,67.0,15,0.267,13,0.068,1.341,1.489,ahq eSports Club,23
Lost,bot,OPL,15,59,0.644,65.5,62.8,58.7,50.8,49.5,57.6,66.9,12,0.25,11,0.425,1.038,0.729,Legacy Esports,18
Tussle,jng,LJL,15,68,0.662,64.4,61.8,59.6,64.7,44.7,57.9,66.9,8,0.375,14,0.363,1.086,0.868,Rampage,22
Raes,bot,OPL,15,56,0.679,66.9,56.6,43.2,54.5,46.4,55.6,66.8,8,0.0,10,0.181,1.221,1.222,Chiefs Esports Club,19
Dara,sup,LJL,15,68,0.662,61.4,60.1,62.1,62.4,48.3,58.6,66.8,8,0.375,17,0.356,1.086,0.81,Rampage,22
Odoamne,top,EU LCS,1,91,0.615,66.0,54.1,58.0,63.1,48.8,52.2,66.8,15,0.2,16,0.255,1.157,0.71,H2k-Gaming,22
Jesiz,sup,EU LCS,1,106,0.613,64.6,53.7,58.1,53.7,56.3,66.1,66.8,13,0.154,19,0.229,1.187,0.748,Fnatic,21
tockers,mid,CBLOL,15,40,0.7,60.8,54.5,51.6,63.7,54.7,53.4,66.8,4,0.25,13,0.103,1.292,1.512,RED Canids,21
Ceros,mid,LJL,15,56,0.696,59.3,59.7,55.9,75.5,47.3,64.5,66.7,5,0.2,18,0.147,1.24,1.401,DetonatioN FocusMe,24
fabFabulous,top,TCL,15,82,0.671,63.5,49.0,59.6,61.9,38.1,50.4,66.7,12,0.25,17,0.095,1.277,1.284,Papara SuperMassive,21
Yutapon,top,LJL,15,27,0.667,57.6,56.6,62.5,61.5,48.4,53.7,66.6,3,0.333,11,0.12,1.24,1.217,DetonatioN FocusMe,21
MaRin,top,LCK,1,108,0.528,65.0,56.4,58.7,78.1,56.8,56.4,66.6,19,0.211,16,0.414,1.002,0.379,DN SOOPers,26
Riris,top,LSPL,2,101,0.584,50.2,65.2,67.2,73.9,43.7,54.2,66.6,9,0.222,15,0.133,1.237,1.24,Hong Kong Attitude|Royal Club,23
FEBIVEN,mid,EU LCS,1,91,0.615,64.9,52.1,55.7,61.2,60.1,44.9,66.5,15,0.2,13,0.215,1.157,0.718,H2k-Gaming,21
Swiffer,mid,OPL,15,56,0.679,63.4,52.1,46.8,72.4,43.9,54.7,66.5,8,0.0,13,0.124,1.221,1.405,Chiefs Esports Club,23
Martin,bot,LSPL,2,74,0.662,59.0,52.9,53.0,60.4,50.8,53.1,66.5,0,0.0,11,0.034,1.301,1.541,Vici Gaming,20
Shini,jng,BRCC,2,33,0.758,72.2,54.6,69.8,53.5,44.4,56.8,66.4,3,0.667,11,0.568,0.853,0.624,INTZ|INTZ.Genesis,20
Quas,top,NA CS,2,44,0.591,63.6,56.7,55.1,79.6,44.0,56.0,66.4,7,0.143,12,0.209,1.138,1.067,Tempo Storm,26
Jankos,jng,EU LCS,1,91,0.615,56.8,59.5,52.2,65.2,56.9,68.5,66.4,15,0.2,16,0.198,1.157,0.799,H2k-Gaming,22
Ben,sup,LPL,1,83,0.639,59.2,55.8,72.3,58.4,49.6,58.6,66.3,6,0.5,15,0.288,1.069,0.57,Team WE,22
Naru,mid,TCL,15,82,0.671,55.8,53.9,61.8,64.2,45.9,56.4,66.3,12,0.25,16,0.029,1.277,1.58,Papara SuperMassive,21
Albis,sup,LMS,15,82,0.646,52.8,55.7,56.8,74.5,38.9,55.4,66.2,15,0.267,14,-0.028,1.308,1.431,ahq eSports Club,24
1874,sup,LSPL,2,40,0.7,57.3,51.5,50.5,63.3,43.6,50.1,66.1,0,0.0,8,-0.08,1.344,1.702,Legend Dragon,
Blasting,bot,LCL,15,55,0.636,67.3,58.1,64.0,57.3,57.7,60.8,66.0,8,0.375,13,0.447,0.896,0.54,Gambit Esports|Virtus.pro,21
Swip3rR,top,OPL,15,56,0.679,59.8,53.2,46.5,73.2,52.6,59.3,66.0,8,0.0,16,0.056,1.221,1.266,Chiefs Esports Club,23
Padden,bot,TCL,15,78,0.615,61.3,60.8,58.9,66.7,61.9,57.5,65.9,12,0.25,12,0.285,1.01,0.857,Fenerbahçe Esports,22
EGym,sup,OPL,15,56,0.679,59.0,55.6,45.3,70.3,49.6,62.4,65.9,8,0.0,16,0.037,1.221,1.275,Chiefs Esports Club,23
Spookz,jng,OPL,15,56,0.679,58.5,55.2,48.0,72.3,49.1,61.3,65.9,8,0.0,13,0.026,1.221,1.358,Chiefs Esports Club,23
Caps,mid,EU LCS,1,106,0.613,61.5,49.6,54.1,53.8,53.9,57.6,65.9,13,0.154,21,0.066,1.187,0.918,Fnatic,18
Kedu,bot,OPL,15,28,0.679,57.0,51.7,52.3,65.0,33.1,51.4,65.9,5,0.2,8,-0.076,1.31,1.62,Lynx|Team Regicide,
Stomaged,jng,TCL,15,82,0.671,52.1,53.4,60.8,56.3,50.7,58.6,65.9,12,0.25,13,-0.032,1.277,1.477,Papara SuperMassive,20
Vizicsacsi,top,EU LCS,1,87,0.586,67.0,55.1,70.0,72.0,42.2,45.6,65.8,17,0.412,15,0.392,0.914,0.31,Unicorns of Love,24
Evi,top,LJL,15,68,0.662,61.0,55.1,61.0,66.7,45.8,52.2,65.8,8,0.375,17,0.177,1.086,0.991,Rampage,22
VVvert,top,CBLOL,15,55,0.655,57.3,56.9,56.5,53.3,39.2,56.5,65.8,10,0.3,16,0.109,1.144,1.126,INTZ.Genesis|Team oNe eSports,18
Morning,top,LMS,15,54,0.63,62.0,51.3,70.4,71.5,57.1,54.4,65.8,5,0.2,13,0.241,1.04,0.872,J Team,23
Duan,sup,LSPL,2,78,0.654,51.1,56.5,51.7,66.2,58.2,58.3,65.8,0,0.0,15,-0.095,1.316,1.688,Vici Gaming,21
BeBe,bot,LMS,15,72,0.583,54.1,62.2,57.7,73.6,39.1,60.7,65.7,7,0.143,13,0.121,1.12,1.174,J Team,23
Nuclear,bot,EU LCS,1,91,0.615,56.8,52.5,53.8,53.5,48.3,52.0,65.7,15,0.2,12,0.07,1.157,0.978,H2k-Gaming,20
Thaldrin,top,TCL,15,86,0.593,60.9,60.9,60.4,71.0,57.0,57.0,65.6,14,0.286,21,0.281,0.982,0.766,Fenerbahçe Esports,23
