player_id,position,league,tier,games,winrate,操作,运营,心态,指挥,体质,适应力,总评,逆风局数,翻盘率,英雄池,_boxz,_impz,_resid,teams,年龄
Deft,bot,LPL,1,72,0.792,67.4,56.7,55.9,62.8,40.7,62.0,74.7,5,0.2,10,0.275,2.742,2.108,EDward Gaming,20
Clearlove,jng,LPL,1,72,0.792,50.3,59.1,62.7,77.7,42.5,70.5,73.9,5,0.2,12,-0.028,2.742,2.47,EDward Gaming,23
Meiko,sup,LPL,1,72,0.792,52.5,56.3,60.0,60.8,39.2,53.0,73.9,5,0.2,8,-0.032,2.742,2.273,EDward Gaming,18
Mlxg,jng,LPL,1,91,0.637,63.0,57.3,48.9,56.6,42.4,57.9,70.6,9,0.111,9,0.116,1.879,1.504,Royal Never Give Up,20
Mouse,top,LPL,1,61,0.836,36.2,49.1,62.2,66.0,52.9,48.7,70.5,4,0.25,9,-0.591,2.441,2.745,EDward Gaming,20
Scout,mid,LPL,1,61,0.787,51.6,56.3,46.5,61.9,52.8,57.3,70.0,3,0.0,17,-0.178,2.015,1.886,EDward Gaming|SK Telecom T1,18
Looper,top,LPL,1,91,0.637,53.1,54.8,50.2,74.9,59.6,60.3,69.5,9,0.111,17,-0.112,1.879,1.701,Royal Never Give Up,23
Xiaohu,mid,LPL,1,91,0.637,48.1,56.6,48.6,61.4,43.6,52.8,68.9,9,0.111,17,-0.239,1.879,1.817,Royal Never Give Up,18
Mata,sup,LPL,1,91,0.637,49.4,50.3,49.4,69.9,50.4,57.6,68.7,9,0.111,12,-0.28,1.879,1.73,Royal Never Give Up,22
AmazingJ,top,LPL,1,102,0.608,46.7,61.5,53.6,53.9,43.4,49.8,64.6,5,0.2,17,-0.15,1.196,1.053,EDward Esports|I May,19
Uzi,bot,LPL,1,77,0.623,69.3,61.9,47.7,76.1,52.1,49.7,63.9,5,0.0,7,0.378,0.686,0.095,Qiao Gu Reapers|Royal Never Give Up,25
Road,sup,LPL,1,101,0.604,63.2,47.7,50.2,57.0,40.0,50.6,63.9,5,0.2,13,-0.044,1.031,0.773,EDward Esports|I May,21
SofM,jng,LPL,1,64,0.594,59.4,61.6,45.1,48.2,50.4,65.4,62.0,0,0.0,10,0.096,0.689,0.381,Snake Esports,18
Avoidless,jng,LPL,1,80,0.65,34.4,53.1,57.1,71.0,51.2,54.0,61.2,5,0.2,12,-0.629,1.189,1.557,EDward Esports|I May,22
pyl,sup,LPL,1,37,0.514,51.9,48.8,46.5,64.0,51.7,56.6,60.2,0,0.0,8,-0.268,0.78,0.749,LGD Gaming,22
Athena,mid,LPL,1,49,0.571,41.1,59.2,55.6,64.1,35.1,51.7,60.2,4,0.25,15,-0.28,0.793,0.855,I May,21
Jinjiao,bot,LPL,1,102,0.608,31.9,53.0,61.2,59.6,53.2,53.5,60.1,5,0.2,13,-0.794,1.196,1.663,EDward Esports|I May,18
Flandre,top,LPL,1,69,0.565,55.7,51.7,47.7,48.7,57.3,60.7,59.4,0,0.0,17,-0.098,0.556,0.358,Snake Esports,18
JieZou,sup,LPL,1,68,0.574,52.2,55.1,43.8,55.1,42.4,58.8,59.0,0,0.0,9,-0.194,0.592,0.518,Snake Esports,
Tank,mid,LPL,1,69,0.565,48.4,57.1,46.4,62.2,47.3,58.4,58.5,0,0.0,16,-0.217,0.556,0.579,Snake Esports,21
MaRin,top,LPL,1,43,0.465,54.1,54.7,46.3,76.2,58.0,53.8,57.7,0,0.0,12,-0.125,0.386,0.215,LGD Gaming,25
Mystic,bot,LPL,1,75,0.52,59.6,55.1,42.6,54.8,43.4,49.8,57.2,0,0.0,8,-0.029,0.263,0.08,Team WE,21
zero,sup,LPL,1,75,0.52,56.1,53.6,42.7,59.5,59.2,57.5,57.0,0,0.0,11,-0.061,0.263,0.11,Team WE,22
imp,bot,LPL,1,44,0.455,54.4,50.4,46.8,56.2,52.0,61.5,56.5,0,0.0,9,-0.18,0.309,0.264,LGD Gaming,21
Condi,jng,LPL,1,75,0.52,50.4,58.3,43.4,47.1,49.9,57.4,56.2,0,0.0,9,-0.165,0.263,0.223,Team WE,20
xiye,mid,LPL,1,75,0.52,53.2,54.7,43.8,49.9,43.2,53.1,56.1,0,0.0,14,-0.183,0.263,0.278,Team WE,19
957,top,LPL,1,75,0.52,50.8,56.9,43.8,67.7,65.5,41.5,56.1,0,0.0,11,-0.174,0.263,0.141,Team WE,23
Martin,bot,LPL,1,52,0.596,50.5,55.7,47.0,48.7,40.3,43.4,55.8,0,0.0,5,-0.191,0.241,0.21,Snake Esports,19
XuanXuanPi,bot,LPL,1,41,0.463,52.2,55.1,42.7,46.9,70.3,62.2,54.1,0,0.0,9,-0.142,0.023,-0.039,Unlimited Potential|Vici Gaming,19
DanDy,jng,LPL,1,48,0.479,59.4,57.8,43.9,58.6,43.6,51.5,53.1,0,0.0,7,0.016,-0.214,-0.409,Vici Gaming,22
Loong,top,LPL,1,48,0.479,53.8,57.7,44.7,48.9,66.4,48.9,52.6,0,0.0,11,0.007,-0.266,-0.572,Vici Gaming,21
Easyhoon,mid,LPL,1,48,0.479,53.8,55.3,42.8,77.2,51.6,49.1,52.3,0,0.0,10,-0.091,-0.214,-0.246,Vici Gaming,24
Rookie,mid,LPL,1,44,0.364,59.7,52.5,46.9,44.9,67.1,55.4,51.7,0,0.0,16,-0.014,-0.346,-0.438,Invictus Gaming,16
Duan,sup,LPL,1,54,0.463,54.4,57.7,42.2,42.3,52.7,46.6,51.7,0,0.0,7,-0.11,-0.266,-0.314,Vici Gaming,20
Zz1tai,top,LPL,1,39,0.385,54.6,55.6,46.7,43.0,65.5,47.7,51.7,0,0.0,11,-0.079,-0.285,-0.505,Invictus Gaming,19
Kid,jng,LPL,1,47,0.362,57.3,52.8,46.4,42.8,57.5,51.9,51.2,0,0.0,8,-0.08,-0.346,-0.443,Invictus Gaming,19
Juejue,jng,LPL,1,46,0.37,55.4,52.9,45.5,42.1,64.6,59.5,50.3,0,0.0,8,-0.07,-0.448,-0.55,Oh My God,18
Endless,bot,LPL,1,30,0.433,53.7,54.4,48.3,44.1,63.0,56.2,50.0,0,0.0,6,-0.129,-0.433,-0.476,Vici Gaming,18
ICON,mid,LPL,1,45,0.378,52.0,50.6,50.3,45.8,56.8,54.3,50.0,0,0.0,14,-0.188,-0.38,-0.309,Oh My God,20
x1u,sup,LPL,1,27,0.222,54.9,53.1,47.9,45.8,81.3,58.5,48.8,0,0.0,10,-0.004,-0.67,-0.764,Saint Gaming,
COLD,sup,LPL,1,49,0.347,55.0,54.8,50.9,39.2,81.2,58.4,48.7,0,0.0,11,0.076,-0.744,-0.9,Oh My God,19
GimGoon,top,LPL,1,45,0.422,55.9,54.7,46.1,47.2,54.8,54.2,48.6,0,0.0,11,-0.094,-0.614,-0.82,Game Talents,21
Grail,mid,LPL,1,45,0.422,58.1,51.1,46.9,44.2,33.6,41.4,48.2,0,0.0,8,-0.15,-0.614,-0.56,Game Talents,20
Savoki,sup,LPL,1,42,0.405,54.8,54.5,46.0,47.2,32.2,46.9,48.1,0,0.0,7,-0.178,-0.603,-0.551,Game Talents,
Tabe,sup,LPL,1,29,0.345,54.3,52.6,47.6,72.8,46.1,51.5,47.8,0,0.0,6,-0.149,-0.669,-0.635,Invictus Gaming,25
Smlz,bot,LPL,1,47,0.34,56.3,56.2,45.2,41.2,74.0,66.6,47.5,0,0.0,12,0.003,-0.821,-0.961,Oh My God,19
eimy,jng,LPL,1,26,0.385,51.0,54.2,48.7,41.3,57.7,60.4,47.4,0,0.0,6,-0.172,-0.697,-0.691,LGD Gaming,20
Dade,mid,LPL,1,42,0.381,52.9,52.6,47.1,63.1,45.0,54.7,46.7,0,0.0,12,-0.199,-0.756,-0.645,Newbee,22
WuShuang,jng,LPL,1,45,0.422,50.7,47.2,46.5,50.3,35.6,56.6,46.7,0,0.0,8,-0.367,-0.614,-0.425,Game Talents,
Xiyang,top,LPL,1,46,0.326,50.2,60.0,46.1,52.9,45.5,52.6,46.5,0,0.0,12,-0.137,-0.834,-0.998,Oh My God,22
PentaQ,bot,LPL,1,45,0.422,49.9,46.4,46.7,51.3,32.7,51.3,46.5,0,0.0,8,-0.407,-0.614,-0.386,Game Talents,21
Funny,mid,LPL,1,34,0.382,50.8,53.5,47.9,43.5,41.2,46.9,46.2,0,0.0,11,-0.226,-0.795,-0.657,LGD Gaming,18
Swift,jng,LPL,1,53,0.358,57.4,53.6,52.1,38.9,45.8,65.0,45.6,1,0.0,11,-0.02,-1.035,-1.162,Newbee|Qiao Gu Reapers,20
Mor,sup,LPL,1,53,0.358,58.5,51.2,46.4,58.1,47.8,50.3,45.6,1,0.0,9,-0.023,-1.035,-1.07,Newbee|Qiao Gu Reapers,23
Happy,bot,LPL,1,48,0.354,54.0,51.4,46.4,54.2,47.7,47.5,44.9,0,0.0,6,-0.188,-0.987,-0.938,Newbee,22
Deemo,jng,LPL,1,23,0.174,55.1,55.6,49.2,44.0,49.9,53.5,43.7,0,0.0,6,-0.061,-1.248,-1.327,Saint Gaming,21
V,top,LPL,1,53,0.358,40.4,58.8,49.1,52.9,62.1,57.4,43.6,1,0.0,14,-0.337,-1.035,-0.999,Newbee|Qiao Gu Reapers,22
Acorn,top,LPL,1,44,0.205,54.4,53.6,46.2,72.7,80.8,62.7,42.1,0,0.0,16,-0.05,-1.493,-1.747,Saint Gaming,26
Snoopy,mid,LPL,1,25,0.16,52.6,50.8,49.1,39.8,76.5,51.7,41.9,0,0.0,8,-0.145,-1.435,-1.32,Saint Gaming,20
Styz,bot,LPL,1,29,0.172,50.8,47.1,48.4,44.9,79.5,53.1,41.7,0,0.0,6,-0.229,-1.409,-1.293,Saint Gaming,21
Rain,bot,LPL,1,27,0.333,49.8,46.4,48.7,35.7,40.1,64.1,35.8,0,0.0,7,-0.371,-2.484,-2.163,Invictus Gaming,20
