player_id,position,league,tier,games,impact_raw,impact_z,impact_100
Faker,mid,LCK,1,144,0.1833,3.482,81.2
Gumayusi,bot,LCK,1,144,0.1833,3.482,81.2
Keria,sup,LCK,1,144,0.1833,3.482,81.2
Oner,jng,LCK,1,144,0.1833,3.482,81.2
Zeus,top,LCK,1,144,0.1833,3.482,81.2
Ruler,bot,LCK,1,107,0.1807,3.432,81.2
Eyla,sup,LCSA,2,108,0.177,3.361,81.2
Lehends,sup,LCK,1,107,0.1739,3.303,81.1
Peanut,jng,LCK,1,118,0.1732,3.29,81.1
Doran,top,LCK,1,108,0.1718,3.263,81.1
Chovy,mid,LCK,1,106,0.1672,3.175,81.0
Wei,jng,LPL,1,162,0.1559,2.961,80.8
GALA,bot,LPL,1,156,0.1553,2.95,80.8
Ming,sup,LPL,1,156,0.1553,2.95,80.8
Xiaohu,mid,LPL,1,156,0.1553,2.95,80.8
3XA,bot,LFL,2,101,0.155,2.944,80.8
Doss,sup,LFL,2,101,0.155,2.944,80.8
Eika,mid,LFL,2,101,0.155,2.944,80.8
Ragner,top,LFL,2,101,0.155,2.944,80.8
Yike,jng,LFL,2,101,0.155,2.944,80.8
Yagao,mid,LPL,1,135,0.1488,2.826,80.7
Sty1e,bot,VCS,2,88,0.1435,2.725,80.5
Haeri,mid,LCSA,2,109,0.1397,2.653,80.4
Kati,mid,VCS,2,89,0.1384,2.628,80.4
Kiaya,top,VCS,2,89,0.1384,2.628,80.4
Evi,top,LJL,2,75,0.1368,2.598,80.3
Harp,sup,LJL,2,77,0.1355,2.572,80.3
Steal,jng,LJL,2,77,0.1355,2.572,80.3
Yaharong,mid,LJL,2,77,0.1355,2.572,80.3
Yutapon,bot,LJL,2,77,0.1355,2.572,80.3
Monki,jng,LDL,2,107,0.1345,2.555,80.3
Szygenda,top,LFL,2,108,0.1337,2.538,80.2
Hope,bot,LPL,1,120,0.1331,2.528,80.2
Bie,sup,VCS,2,78,0.1327,2.519,80.2
Diplex,mid,LFL,2,110,0.1324,2.514,80.2
Jactroll,sup,LFL,2,110,0.1324,2.514,80.2
Jeskla,bot,LFL,2,110,0.1324,2.514,80.2
Skeanz,jng,LFL,2,110,0.1324,2.514,80.2
JackeyLove,bot,LPL,1,128,0.1323,2.511,80.2
Knight,mid,LPL,1,128,0.1323,2.511,80.2
Solokill,top,LDL,2,110,0.1321,2.508,80.2
Mark,sup,LPL,1,115,0.1317,2.501,80.1
Nothing,bot,LMF,2,67,0.1316,2.499,80.1
TopLop,mid,LMF,2,67,0.1316,2.499,80.1
369,top,LPL,1,121,0.1315,2.496,80.1
Kanavi,jng,LPL,1,121,0.1315,2.496,80.1
MISSING,sup,LPL,1,121,0.1315,2.496,80.1
Bradley,top,LCSA,2,114,0.1308,2.484,80.1
Ruby,mid,PRM,2,86,0.1291,2.452,80.0
iBo,top,EUM,2,104,0.129,2.449,80.0
Levi,jng,VCS,2,87,0.1283,2.437,80.0
Armao,jng,LCSA,2,113,0.1264,2.399,79.9
Wayward,top,LPL,1,112,0.1255,2.382,79.9
Yeon,bot,LCSA,2,115,0.1255,2.383,79.9
Emp,mid,LHE,2,59,0.1254,2.38,79.9
Feitan,sup,LHE,2,59,0.1254,2.38,79.9
Viciun,bot,LHE,2,59,0.1254,2.38,79.9
Mataz,jng,DDH,2,71,0.1235,2.344,79.8
Kindless,bot,LMF,2,70,0.1228,2.331,79.8
Xiamu,sup,LDL,2,116,0.1224,2.323,79.7
can,jng,LDL,2,74,0.121,2.296,79.7
Cyku,mid,LDL,2,67,0.1207,2.292,79.7
Mir,jng,LCO,2,64,0.1199,2.276,79.6
Raes,bot,LCO,2,64,0.1199,2.276,79.6
Tally,mid,LCO,2,64,0.1199,2.276,79.6
Topoon,top,LCO,2,64,0.1199,2.276,79.6
Tian,jng,LPL,1,117,0.1198,2.275,79.6
Fanatiik,jng,PGC,2,77,0.1184,2.248,79.5
Sniper,top,PGC,2,77,0.1184,2.248,79.5
pinz,mid,LDL,2,79,0.1178,2.236,79.5
NerzhuL,sup,DDH,2,63,0.1172,2.225,79.5
Nite,mid,UL,2,77,0.1167,2.215,79.4
Leave,bot,LDL,2,118,0.1142,2.168,79.3
Zelt,mid,GL,2,49,0.1142,2.168,79.3
Dream,mid,LDL,2,94,0.1136,2.156,79.3
Sheo,jng,LFL,2,95,0.112,2.126,79.2
Crownie,bot,LFL,2,93,0.1117,2.12,79.1
ppgod,sup,LPL,1,99,0.111,2.108,79.1
Thayger,jng,NEXO,2,56,0.1106,2.098,79.1
Rich,top,LPL,1,96,0.1096,2.081,79.0
Tempt,mid,NLC,2,78,0.1086,2.06,78.9
Photic,bot,LPL,1,102,0.1077,2.044,78.9
Lucker,bot,UL,2,79,0.1076,2.043,78.9
Rabble,jng,UL,2,79,0.1076,2.043,78.9
Sinmivak,top,UL,2,79,0.1076,2.043,78.9
Kellin,sup,LCK,1,112,0.1075,2.04,78.9
Lurox,jng,PRM,2,89,0.1075,2.041,78.9
Juliera,bot,CBLOLA,2,50,0.1073,2.037,78.9
Backlund,mid,NLC,2,84,0.1072,2.035,78.8
Enga,mid,LMF,2,58,0.1065,2.021,78.8
Izaenk,top,LMF,2,58,0.1065,2.021,78.8
Kasing,sup,NLC,2,79,0.1034,1.962,78.6
Kartis,top,LDL,2,124,0.103,1.956,78.5
QQMore,sup,LMF,2,57,0.1019,1.934,78.4
Davo,sup,VL,2,47,0.1012,1.92,78.4
Kerberos,top,NLC,2,84,0.1012,1.921,78.4
Xpontaneous,bot,VL,2,47,0.1012,1.92,78.4
Destroy,top,DDH,2,37,0.1011,1.918,78.4
Rainbow,mid,DDH,2,37,0.1011,1.918,78.4
Limitationss,bot,DDH,2,58,0.101,1.918,78.4
Darshan,top,LCSA,2,93,0.0996,1.889,78.2
Medzz,mid,LDL,2,115,0.0996,1.89,78.2
XinMo,sup,LDL,2,115,0.0996,1.89,78.2
