player_id,position,league,tier,games,winrate,behind_games,comeback_rate,champ_pool,操作,运营,心态,体质,适应力,teams,f_gd15,f_xd15,f_cd15,f_dpm,f_dmgshare,f_multi,f_vspm,f_wcpm,f_kp,f_deathshare,f_ejg,f_dmgmit,f_gspd,f_comeback,f_hold,f_clutch,f_endurance,f_sameday,f_pool,f_indep,f_patchstab,z_操作,z_运营,z_心态,z_体质,z_适应力
Chovy,mid,LCK,1,124,0.726,10,0.5,22,74.2,68.1,73.4,51.5,56.8,Gen.G,333.75,337.43548387096774,10.370967741935484,753.1974540322581,0.2548176693548387,0.6048387096774194,1.5450701612903226,0.36661370967741935,0.6549920227094228,0.1624726451330599,0.0,602.8588870967741,0.0,0.5,0.4913087818696884,0.5367564858717861,-0.12671279337946012,3.2528406621626957,1.975658322294524,-0.3870967741935484,-0.22870779254975285,1.2774347883003825,0.7569141425931573,1.1948100314195795,-0.18637117155438349,0.0965123944247693
Archer,bot,LJL,15,72,0.694,4,0.0,17,76.0,63.5,49.5,53.7,52.2,CITA Kaizen|Rising Gaming,1308.3194444444443,401.55555555555554,21.52777777777778,981.8379347222223,0.30383504166666664,1.5277777777777777,1.3676347222222223,0.32458888888888887,0.677352987278228,0.17755995520481826,0.0,425.6594986111111,0.0,0.0,0.2249604361297803,0.14647542532907842,-0.052856287777351144,4.09241452991453,2.003469213361885,-0.4444444444444444,-0.3800084846248684,1.5021608035095002,0.46188756709221224,-0.2964258049890315,-0.06747962049207974,-0.14667026966339897
Eclipse,bot,LAS,3,68,0.676,11,0.091,15,72.4,67.1,50.8,50.0,53.4,Hanwha Life Esports Academy|T1 Esports Academy,738.0441176470588,431.1470588235294,12.397058823529411,1035.1315308823528,0.2974381617647059,1.6323529411764706,1.370589705882353,0.29515294117647056,0.681176306582648,0.1944632216004887,0.0,424.45278382352944,0.0,0.09090909090909091,0.17124759823937902,0.08290062667860344,-0.3734891888081414,3.8219800529256696,1.8190171877724972,-0.35294117647058826,-0.4539136639217254,1.0930589281418377,0.6871864152897479,-0.22189210736544346,-0.26484581506153954,-0.08368821457084821
Cloud,sup,LCKC,2,141,0.61,20,0.2,25,74.6,64.2,53.9,60.4,61.7,T1|T1 Esports Academy,159.02836879432624,238.77304964539007,1.5673758865248226,309.73322978723405,0.1018954304964539,0.07092198581560284,4.439343971631206,0.5003524822695036,0.7381337905151406,0.19531184879161115,0.0,495.61139716312056,0.0,0.2,0.2583505268268085,-0.2886793083091946,0.14260006442455964,4.631608433149919,2.1053798026662975,-0.3971631205673759,-0.2210056430465523,1.3161424998810032,0.5042966069327337,-0.0599478602274294,0.28570836729320553,0.3598589284329519
Knight,mid,LPL,1,173,0.717,9,0.333,25,77.2,61.5,64.0,53.8,63.3,Bilibili Gaming,506.58620689655174,294.44827586206895,7.834482758620689,777.0742445086705,0.2615333352601156,0.7630057803468208,1.2447427745664739,0.2756965317919075,0.683381754716495,0.16082200375104672,0.84,457.75964391891887,0.0,0.3333333333333333,0.5183538409184533,-0.1647926734236725,-0.014941571479511155,2.984295322182082,1.9007148031742638,-0.28901734104046245,-0.20318897401580582,1.6827537162126074,0.34693681502834584,0.49288655448576413,-0.061938402006869495,0.4511731204717636
Kiin,top,LCK,1,124,0.726,10,0.5,25,73.2,61.8,74.7,45.0,64.2,Gen.G,316.46774193548384,279.69354838709677,5.741935483870968,693.7857024193548,0.2357106693548387,0.4596774193548387,1.386727419354839,0.19913225806451612,0.5894353750023767,0.218680123405037,0.0,1139.823370967742,0.0,0.5,0.5763872666652509,0.1361697170793696,-0.2586869415747079,1.7883604941565323,2.2450662753346866,-0.29838709677419356,-0.3180020234844844,1.1727257626401033,0.3658524563874034,1.3304606397917418,-0.5507635832420212,0.5047777979336387
advance,top,LJL,15,55,0.618,8,0.25,15,78.0,56.3,61.3,53.7,57.6,New Meta,1672.8909090909092,1200.2181818181818,35.18181818181818,922.8225036363636,0.3082441090909091,1.0363636363636364,0.9133327272727273,0.12015999999999999,0.6293923425603274,0.18625051319398972,0.0,1164.9701327272726,0.0,0.25,0.3009784630022056,0.0,0.11504571134558875,1.9603734329885059,2.0225995873897262,-0.43636363636363634,-0.275017383768944,1.8458088868853744,0.06916453299359697,0.33623725147857275,-0.06809398325710388,0.13888003529845638
1xn,bot,LPL,1,53,0.547,4,0.0,16,72.2,61.7,42.7,54.6,52.8,LNG Esports,481.5121951219512,359.9756097560976,10.585365853658537,878.3498433962264,0.3121738679245283,0.7547169811320755,1.4359415094339623,0.412577358490566,0.6738451446418191,0.18602759812745792,2.272727272727273,358.4620380952381,0.0,0.0,0.12289780077619662,-0.6278425132180072,-0.4498765432098766,10.683040935672514,2.1977690231790246,-0.4339622641509434,-0.5650436757833656,1.0778371934046613,0.3602629461466336,-0.7000299513302626,-0.021648635637711522,-0.11842150931581713
DICE,mid,LJL,15,53,0.792,3,0.0,19,74.2,59.3,46.6,49.6,63.0,FENNEL,783.4528301886793,736.377358490566,19.41509433962264,917.4037792452831,0.2834419245283019,0.8679245283018868,1.3239660377358489,0.2507679245283019,0.63344015414167,0.19214458669121903,0.0,590.3007188679245,0.0,0.0,0.12093987560469938,-0.2814159292035398,-0.33792463658734095,4.276815776815777,2.6098507150250914,-0.33962264150943394,-0.24718883236364073,1.271657656105529,0.2259134546310975,-0.4552391370904959,-0.28760750221680814,0.43174622883863634
Daemi,mid,LJL,15,62,0.565,11,0.091,18,74.0,59.4,50.6,47.7,52.8,Arneb,789.0322580645161,469.93548387096774,16.14516129032258,893.7863596774193,0.2979923064516129,0.9032258064516129,1.0910387096774194,0.18117258064516129,0.7437028010022886,0.18251071553933831,0.0,466.21110645161286,0.0,0.09090909090909091,0.224615667317718,-0.7175052575410402,-0.357810345708012,3.5360638163430735,2.286002286003429,-0.5,-0.3884889347501734,1.252430517223915,0.2314245631637108,-0.23459220533794026,-0.39433593354366275,-0.1177292744167431
