player_id,position,league,tier,games,winrate,behind_games,comeback_rate,champ_pool,操作,运营,心态,体质,适应力,teams,f_gd15,f_xd15,f_cd15,f_dpm,f_dmgshare,f_multi,f_vspm,f_wcpm,f_kp,f_deathshare,f_ejg,f_dmgmit,f_gspd,f_comeback,f_hold,f_clutch,f_endurance,f_sameday,f_pool,f_indep,f_patchstab,z_操作,z_运营,z_心态,z_体质,z_适应力
Bjergsen,mid,NA LCS,1,78,0.603,11,0.182,21,74.0,59.5,56.7,47.0,60.6,TSM,435.6923076923077,456.12820512820514,12.435897435897436,641.6722807692307,0.34891652564102565,0.8076923076923077,0.0,0.10483076923076923,0.7701664690798017,0.18893017430922582,4.641025641025641,0.0,0.0,0.18181818181818182,0.24231351901752124,0.4125631871045283,-0.2945558418281618,2.0526984126984127,2.377781771703651,-0.2948717948717949,-0.40349528281356367,1.248991735550858,0.23910481760230068,0.08711774100767061,-0.4362579920432319,0.29774057735092696
Smeb,top,OGN,3,110,0.645,18,0.167,21,69.3,60.9,56.6,59.6,62.0,ROX Tigers,175.9909090909091,199.56363636363636,4.5,442.28408636363633,0.22961505181818181,0.4909090909090909,0.0,0.07815818181818182,0.7174974313367002,0.21363203898339544,2.827272727272727,0.0,0.0,0.16666666666666666,0.2668962986465655,-0.335394018159785,0.10410388037318487,6.166954093783361,2.002271437415744,-0.509090909090909,-0.35151238944231195,0.8392392218958363,0.31822926015686526,0.08675933266138897,0.24271226771646948,0.37561655410695155
DinTer,jng,LMS,15,53,0.623,10,0.1,9,65.1,61.9,51.9,54.0,53.4,Hong Kong Esports,247.52830188679246,195.45283018867926,3.7735849056603774,306.0599132075472,0.14778768490566038,0.18867924528301888,0.0,0.30775471698113205,0.7200944365127886,0.1768068666430213,18.88679245283019,0.0,0.0,0.1,0.16930809666848715,0.2611797549501111,0.13214545942121786,3.8113207547169807,1.2362450755382013,-0.660377358490566,-0.3343262495326935,0.5594625134097655,0.37429665674930934,-0.16200597103391948,-0.05270579210857991,-0.08354980568894133
An,bot,LMS,15,71,0.732,8,0.25,11,67.0,59.6,72.4,49.3,51.2,ahq eSports Club,355.84507042253523,270.3380281690141,13.112676056338028,597.3753676056339,0.28927988732394366,1.4647887323943662,0.0,0.1932929577464789,0.7356094582966958,0.192891589995654,5.338028169014085,0.0,0.0,0.25,0.42951711293457134,2.836531192627524,-0.2850447724853623,1.635291950635476,1.3054598240132387,-0.6056338028169014,-0.4397295556957675,0.6775851033359783,0.24632063793218,1.0973278519013399,-0.30414218954591066,-0.2018315316023953
Cabochard,top,EU LCS,1,45,0.467,6,0.333,18,70.0,56.6,66.5,58.5,68.0,Gambit Gaming,421.8666666666667,395.31111111111113,12.733333333333333,421.88854,0.2245243111111111,0.5777777777777777,0.0,0.07449555555555555,0.6635529539451108,0.2033471628599065,2.533333333333333,0.0,0.0,0.3333333333333333,0.9414536253381032,-0.49117261583532495,0.2032651717507276,4.201612903225806,2.6832815729997477,-0.37777777777777777,-0.3128603900940622,0.8968327405659233,0.08673634438545658,0.6483410644670627,0.1840340055052903,0.7447274906291373
Karsa,jng,LMS,15,59,0.661,8,0.125,10,67.8,58.8,49.0,59.5,54.5,Flash Wolves,376.47457627118644,328.1864406779661,4.813559322033898,290.6393050847458,0.15110746949152543,0.23728813559322035,0.0,0.3613,0.7046213779340714,0.21409117931461766,14.40677966101695,0.0,0.0,0.125,0.2193741074059801,-0.9421411299186635,0.08048452220726779,9.07056277056277,1.3018891098082388,-0.6610169491525424,-0.31572556240706556,0.7364681761363298,0.20354801658050453,-0.32167444768484027,0.2370326335298516,-0.024481275877295393
MaRin,top,OGN,3,119,0.782,10,0.3,14,74.8,50.2,65.0,57.3,45.9,SK Telecom T1,328.57142857142856,415.1848739495798,10.445378151260504,482.5052705882353,0.2381888823529412,0.453781512605042,0.0,0.07976974789915967,0.6007586597781912,0.24131859634045952,4.109243697478991,0.0,0.0,0.3,0.24439461883408073,0.35732133933033494,0.08500750280934795,5.11464146795197,1.283377895839496,-0.7394957983193278,-0.24788045449404048,1.349708609782249,-0.25739335246926365,0.5545336804378972,0.12134806040381127,-0.4995639351703066
Faker,mid,OGN,3,81,0.778,7,0.429,22,69.7,55.3,72.9,51.2,68.8,SK Telecom T1,389.037037037037,300.61728395061726,10.08641975308642,647.3832654320988,0.3147280864197531,0.8518518518518519,0.0,0.18506296296296296,0.6898757243631053,0.20614156739299574,7.197530864197531,0.0,0.0,0.42857142857142855,0.5767380688529781,0.46604660948231624,-0.005867351677542451,2.7814741619089447,2.4444444444444446,-0.345679012345679,-0.24543228938095626,0.8717005212577995,0.013340206946401329,1.1450039479698324,-0.20397230805117617,0.804114254918027
Mountain,jng,LMS,15,59,0.729,7,0.286,9,64.4,60.2,61.9,48.0,48.7,ahq eSports Club,195.6949152542373,74.01694915254237,0.15254237288135594,298.4510559322034,0.14619647966101693,0.3389830508474576,0.0,0.29168644067796606,0.703290269078337,0.18928880664870065,20.64406779661017,0.0,0.0,0.2857142857142857,0.3996457741492134,0.3395071560217524,-0.44938460151093335,0.8209764918625678,1.171700198827415,-0.711864406779661,-0.42862120542704973,0.5141980596125674,0.2786530874581914,0.36982176665868716,-0.3779643906584347,-0.3394665884021561
Meiko,sup,MSI,1,22,0.636,3,0.333,7,66.8,57.8,59.3,54.6,54.5,EDward Gaming,465.59090909090907,465.72727272727275,-0.045454545454545456,192.79777272727276,0.09450365909090909,0.045454545454545456,0.0,0.2887363636363636,0.7373515633926192,0.19120235595565688,0.2727272727272727,0.0,0.0,0.3333333333333333,0.39769211168140944,-0.1505016722408027,0.06099110546378642,1.8777777777777775,1.4924050144892729,-0.8181818181818182,0.0,0.670454675747829,0.14930769585519457,0.22955227491870384,-0.023573887533264004,-0.028893318141386515
